11 10 1351
9432 13612.5 16254 23616 6830
regional : 342408, 1479, 669, 77.0, 151400, 4
regional : 119704, 891, -600, 85.58, 175600, 3
major : 388025, -759, 711, 51.81, 195750, 4
major : 906840, 2917, 1258, 49.39, 139500, 5
regional : 656485, 2126, 1920, 78.76, 110000, 4
regional : 258740, 438, -12, 91.08, 175000, 4
regional : 621416, 2366, -2506, 102.19, 168400, 4
major : 467311, 181, -860, 52.69, 186750, 6
regional : 904432, 2319, 904, 79.2, 155800, 3
major : 539994, 822, 417, 63.14, 248250, 3
economy : 6957613748, 188, 1, [258740, 467311]
economy : 3625072675, 160, 0, [656485, 119704]
economy : 8858081856, 113, 2, [388025, 342408]
business : 3621402824, 89, 10, [906840, 119704]
economy : 1740354835, 61, 3, [258740, 539994]
economy : 4547916404, 158, 0, [906840, 539994]
economy : 9475325719, 41, 9, [388025, 467311]
economy : 3549132800, 128, 2, [342408, 539994]
first : 2098773648, 194, 1, [539994, 906840]
first : 4034840419, 49, 2, [388025, 342408]
first : 4885283682, 51, 2, [342408, 467311]
first : 5655617117, 130, 1, [258740, 342408]
economy : 4088994561, 49, 2, [467311, 904432]
economy : 9326485934, 85, 2, [388025, 467311]
economy : 7788223391, 156, 0, [906840, 388025]
business : 2941753089, 122, 1, [904432, 656485]
economy : 4028808553, 138, 2, [621416, 467311]
luxury : 2997441658, 128, 4, [258740, 539994]
economy : 6771348325, 180, 0, [656485, 467311]
business : 4524144938, 198, 2, [119704, 388025]
business : 6362700476, 56, 5, [539994, 621416]
business : 6661823787, 93, 8, [656485, 119704]
economy : 8804341661, 103, 5, [904432, 621416]
economy : 9261745407, 71, 1, [388025, 539994]
business : 2401741678, 108, 1, [258740, 342408]
economy : 5204087294, 64, 3, [467311, 119704]
economy : 3113315103, 150, 3, [119704, 258740]
economy : 6340416713, 141, 3, [342408, 906840]
business : 1966356207, 174, 0, [258740, 904432]
economy : 9330805255, 42, 2, [388025, 656485]
economy : 5540687223, 124, 1, [539994, 258740]
economy : 6908788248, 73, 2, [258740, 119704]
economy : 4815079080, 47, 2, [656485, 119704]
economy : 9138430477, 135, 0, [656485, 388025]
economy : 5176982822, 175, 1, [342408, 258740]
business : 4099963760, 49, 1, [467311, 388025]
economy : 5249311077, 101, 4, [342408, 119704]
economy : 9009920989, 56, 2, [258740, 539994]
economy : 1132752326, 164, 2, [258740, 656485]
business : 6590562460, 128, 1, [342408, 906840]
economy : 7618019916, 138, 0, [539994, 656485]
first : 9320510829, 88, 1, [906840, 119704]
business : 9761145267, 95, 1, [119704, 906840]
first : 7997383395, 140, 4, [621416, 119704]
economy : 2576346528, 196, 2, [119704, 342408]
business : 2568082414, 73, 1, [119704, 904432]
economy : 3564476397, 170, 2, [388025, 342408]
business : 9463440479, 146, 0, [342408, 258740]
economy : 8990700624, 152, 0, [258740, 656485]
economy : 2262979857, 87, 3, [906840, 621416]
economy : 4729543501, 167, 2, [388025, 258740]
economy : 2256238701, 75, 1, [342408, 119704]
first : 8775847110, 70, 1, [258740, 621416]
economy : 1191389263, 43, 0, [388025, 539994]
economy : 3518477199, 160, 3, [539994, 904432]
economy : 9777138566, 104, 0, [906840, 388025]
economy : 8176546065, 143, 2, [258740, 342408]
first : 7387197559, 154, 0, [467311, 621416]
economy : 5991132696, 154, 7, [906840, 904432]
first : 2042517692, 141, 5, [467311, 258740]
economy : 2564744583, 180, 1, [388025, 119704]
economy : 7013306147, 177, 1, [656485, 621416]
economy : 7544654640, 146, 2, [258740, 388025]
economy : 3534110208, 43, 1, [539994, 119704]
luxury : 1047970202, 181, 2, [467311, 388025]
business : 8409734967, 166, 3, [621416, 342408]
economy : 7455098533, 177, 3, [621416, 906840]
economy : 3797389708, 183, 2, [119704, 621416]
economy : 5892720034, 198, 1, [119704, 906840]
business : 9430120838, 132, 4, [119704, 388025]
economy : 6969178407, 55, 4, [906840, 621416]
economy : 5595811106, 59, 1, [342408, 388025]
business : 4062295288, 56, 0, [342408, 906840]
business : 9350022188, 154, 1, [258740, 388025]
economy : 8763634286, 156, 5, [258740, 656485]
economy : 4304593676, 157, 1, [906840, 656485]
economy : 7525400807, 174, 0, [539994, 906840]
economy : 4448451427, 60, 2, [656485, 388025]
business : 9022777073, 163, 3, [119704, 342408]
