5 49 3304
9216 4869 11016 94860 5424
hub : 316949, -3090, -12445, 43.34, 195900, 2
hub : 833316, -16849, -10979, 60.61, 219900, 5
hub : 191668, -27609, -6563, 47.08, 230700, 4
hub : 795259, -37598, 1392, 34.87, 164700, 3
hub : 404751, -47785, 3873, 36.08, 290400, 4
major : 897261, -27157, 240, 51.37, 155250, 1
major : 288849, -23133, -8983, 74.25, 244500, 3
major : 781277, -33749, -4294, 69.08, 244250, 2
major : 570236, -42130, -7083, 50.16, 213500, 1
major : 617372, -43706, -445, 59.84, 203750, 3
major : 375274, -42675, 5738, 55.77, 185250, 1
major : 173972, -55142, -1674, 49.17, 245750, 2
major : 444383, -51374, 11716, 49.94, 248500, 2
regional : 914675, -3485, -15511, 95.92, 127800, 2
regional : 755354, -15280, -10567, 100.1, 104000, 1
regional : 142714, -15888, -13544, 82.39, 144600, 2
regional : 365029, -16708, -14518, 76.34, 157200, 1
regional : 972043, -27206, -4366, 70.51, 141400, 1
regional : 980605, -38976, 1625, 95.48, 109400, 2
regional : 837315, -36390, 3038, 95.04, 181400, 2
regional : 649427, -35474, 2564, 109.34, 182200, 1
regional : 435391, -38177, 2452, 77.88, 196200, 1
regional : 964882, -46506, 2909, 81.29, 114600, 2
regional : 725527, -45720, 4966, 76.67, 191800, 1
regional : 512913, -47680, 2746, 98.56, 100000, 2
regional : 924708, -27641, -986, 93.17, 113600, 2
regional : 385635, -26893, 3378, 108.13, 124800, 1
regional : 143309, -29916, 337, 73.37, 152000, 1
regional : 337974, -21966, -11165, 70.84, 132000, 2
regional : 132712, -24904, -11267, 103.07, 138600, 2
regional : 872454, -31343, -3257, 95.37, 140600, 1
regional : 109525, -35154, -1828, 96.03, 124600, 2
regional : 488321, -32835, -4106, 98.56, 173200, 1
regional : 971346, -41269, -8763, 88.44, 174400, 1
regional : 344008, -39611, -8503, 96.14, 123800, 2
regional : 407024, -44189, -5668, 85.69, 163800, 2
regional : 572330, -44565, 264, 75.9, 177200, 1
regional : 995392, -42660, 2167, 69.19, 195200, 1
regional : 630267, -43200, 5384, 88.88, 109000, 1
regional : 927612, -43973, 9110, 106.7, 120200, 1
regional : 249531, -43490, 4214, 74.03, 100000, 2
regional : 372123, -42395, 7013, 98.78, 144800, 1
regional : 700200, -55802, -356, 90.64, 188800, 1
regional : 829017, -55697, -1446, 95.15, 183200, 1
regional : 856635, -52570, -1400, 93.83, 152800, 2
regional : 100921, -52691, -4616, 89.21, 152200, 1
regional : 986300, -50839, 12419, 101.2, 175000, 2
regional : 838018, -49369, 14450, 71.28, 177800, 2
regional : 559785, -53848, 9186, 88.88, 154000, 2
economy : 3477962710, 172, 0, [316949, 404751]
economy : 8269663039, 78, 2, [833316, 795259]
economy : 1265182564, 160, 1, [191668, 316949]
economy : 1983726876, 171, 5, [795259, 316949]
economy : 3925467783, 74, 3, [316949, 833316]
economy : 7985140089, 95, 6, [191668, 795259]
economy : 4323367103, 78, 1, [191668, 316949]
economy : 6281847840, 61, 2, [404751, 833316]
economy : 6380660015, 120, 3, [191668, 833316]
economy : 9441751759, 123, 1, [316949, 404751]
economy : 1198984124, 70, 8, [191668, 795259]
economy : 7157880437, 84, 10, [191668, 316949]
economy : 3261243129, 109, 2, [404751, 833316]
economy : 1437084247, 46, 0, [795259, 833316]
economy : 6462371739, 54, 4, [404751, 191668]
economy : 1248113694, 133, 1, [833316, 404751]
business : 5412096848, 68, 0, [795259, 833316]
economy : 2768718067, 188, 2, [833316, 316949]
economy : 4167354840, 56, 1, [191668, 316949]
economy : 7922703308, 61, 0, [191668, 404751]
economy : 8729346638, 106, 1, [833316, 795259]
economy : 8971872288, 67, 1, [795259, 833316]
economy : 7539514625, 77, 0, [795259, 404751]
economy : 1968604251, 182, 9, [191668, 795259]
economy : 5092184751, 92, 0, [191668, 795259]
business : 8649384325, 117, 5, [191668, 316949]
economy : 9585300774, 127, 3, [191668, 795259]
economy : 6719534948, 149, 5, [316949, 795259]
economy : 6798978412, 140, 2, [191668, 795259]
business : 3599588353, 146, 2, [404751, 833316]
business : 5817098975, 88, 10, [404751, 191668]
business : 9429301376, 159, 2, [316949, 404751]
economy : 4593055777, 172, 4, [191668, 833316]
economy : 3398533726, 156, 1, [795259, 833316]
economy : 9290568040, 147, 3, [316949, 404751]
economy : 4588880954, 85, 0, [833316, 404751]
business : 5351432023, 95, 1, [316949, 795259]
economy : 8056418825, 88, 1, [833316, 316949]
business : 9927832518, 48, 0, [795259, 316949]
economy : 3417743444, 80, 2, [191668, 404751]
economy : 6105060203, 187, 9, [795259, 316949]
business : 5263533144, 98, 5, [404751, 316949]
economy : 9762879774, 156, 9, [316949, 404751]
business : 3596164764, 76, 2, [316949, 833316]
business : 1156672193, 169, 1, [191668, 404751]
economy : 7117861693, 102, 0, [191668, 404751]
business : 3757689607, 162, 1, [833316, 191668]
economy : 3223958812, 180, 4, [316949, 191668]
business : 5020905200, 107, 1, [316949, 191668]
economy : 9193875387, 190, 2, [404751, 833316]
economy : 1081409164, 155, 2, [833316, 191668]
economy : 9992568311, 170, 1, [833316, 316949]
economy : 6342707888, 94, 1, [191668, 795259]
economy : 5663185372, 55, 1, [191668, 316949]
business : 9586347854, 53, 1, [833316, 316949]
economy : 3209092029, 46, 5, [833316, 795259]
economy : 5457158914, 181, 4, [191668, 404751]
economy : 4070031031, 140, 2, [191668, 316949]
