2 2186 310
10764 5004 10314 120780 4504
hub : 237424, -11376, -1111, 46.42, 200400, 4
hub : 544899, 1300, 1977, 38.28, 241800, 4
hub : 557841, 6332, -6678, 42.9, 209100, 5
hub : 823240, 15248, -15171, 53.02, 207300, 2
hub : 428052, 3167, -16351, 47.63, 202200, 5
hub : 521279, -9580, -17596, 56.87, 241500, 4
hub : 348209, -19575, -23465, 57.97, 243600, 2
hub : 287658, -31689, -26530, 56.98, 265800, 5
hub : 881338, -39917, -33204, 63.58, 168300, 5
hub : 214258, -51338, -36093, 48.95, 289500, 3
hub : 892027, -43453, -45904, 35.86, 282900, 4
hub : 504706, -32496, -51334, 33.22, 197400, 3
hub : 377855, -27726, -62813, 39.16, 165600, 4
hub : 368717, -36847, -70210, 60.61, 204300, 3
hub : 278875, -26897, -79356, 49.39, 288900, 3
hub : 709275, -13966, -75962, 35.86, 243000, 5
hub : 599647, -8285, -67611, 60.72, 277500, 4
hub : 975564, 477, -60375, 61.05, 187500, 2
hub : 416493, -12047, -58249, 35.31, 167400, 5
hub : 195042, -21470, -51779, 60.06, 299700, 3
hub : 293419, -11974, -46089, 34.65, 192000, 3
hub : 587831, -18926, -34369, 45.1, 289800, 5
hub : 491074, -8869, -30242, 38.61, 258300, 5
hub : 734912, -618, -40508, 57.31, 288300, 4
hub : 134043, 8450, -35074, 58.96, 273000, 4
hub : 649224, 19958, -28178, 60.72, 243000, 2
hub : 894332, 18149, -38558, 53.13, 244500, 2
hub : 321290, 9162, -45847, 56.32, 165900, 3
hub : 562983, 17288, -53316, 48.95, 186000, 4
hub : 764839, 22221, -65188, 34.65, 200100, 4
hub : 330064, 20213, -76709, 41.58, 239700, 4
hub : 915962, 7367, -72472, 46.97, 181200, 5
hub : 275078, 12401, -84586, 58.08, 222900, 5
hub : 723876, 20925, -95192, 50.16, 296400, 2
hub : 472434, 20393, -108547, 38.5, 260700, 5
hub : 267299, 31148, -107400, 44.44, 245400, 5
hub : 487392, 38401, -116424, 43.45, 272700, 4
hub : 943019, 50280, -111549, 33.77, 173400, 4
hub : 189005, 46966, -98692, 61.27, 218700, 5
hub : 898795, 40701, -88130, 36.41, 256800, 3
hub : 338228, 48701, -79504, 53.9, 173100, 4
hub : 658900, 54083, -68765, 36.74, 219300, 3
hub : 732655, 42359, -64899, 54.01, 215100, 4
hub : 961046, 36235, -77393, 56.87, 179700, 3
hub : 944709, 28115, -83978, 52.03, 291300, 4
hub : 547628, 32074, -93505, 65.67, 158100, 5
hub : 696734, 11334, 6094, 34.21, 153900, 2
hub : 366117, 17414, 14701, 64.9, 222300, 2
hub : 837701, 16009, 28454, 34.32, 171900, 3
hub : 692918, 23811, 39499, 35.53, 292500, 3
hub : 334564, 27208, 49356, 46.64, 193800, 5
hub : 969937, 18564, 55520, 65.67, 284100, 3
hub : 619237, 19173, 68031, 61.71, 288900, 4
hub : 301193, 8905, 69961, 39.49, 167400, 3
hub : 123726, -831, 79071, 59.62, 212100, 4
hub : 964498, 10641, 83779, 53.46, 263400, 3
hub : 259236, 18626, 92389, 48.4, 173700, 5
