6 10 6525
9054 13927.5 13662 20736 5170
hub : 683734, 85, 580, 47.41, 222000, 5
major : 943823, 1880, 2928, 44.0, 241500, 3
regional : 756404, -1608, -1426, 93.94, 125600, 1
regional : 810660, -2026, 668, 105.82, 170000, 1
regional : 664325, 1146, -646, 81.4, 111400, 1
major : 526745, 313, 1025, 71.5, 231750, 1
hub : 996681, -1306, -1098, 54.34, 270300, 5
regional : 354517, -2010, 1253, 68.86, 141800, 2
regional : 836762, -701, -510, 96.03, 115800, 1
hub : 858007, -573, 2072, 49.06, 281100, 5
economy : 1943858866, 184, 1, [683734, 836762]
economy : 4815718660, 141, 1, [943823, 996681]
economy : 8122287830, 115, 1, [858007, 354517]
economy : 3989429629, 184, 4, [756404, 664325]
economy : 4499857114, 192, 1, [943823, 836762]
economy : 9657885648, 120, 1, [810660, 354517]
economy : 2256204372, 68, 9, [943823, 836762]
economy : 5473217402, 57, 2, [664325, 943823]
business : 9935918272, 59, 0, [683734, 943823]
economy : 6185316664, 191, 3, [683734, 526745]
economy : 3638429991, 68, 3, [858007, 683734]
economy : 7620462558, 149, 3, [858007, 810660]
business : 5056195270, 49, 1, [756404, 810660]
economy : 8771211870, 75, 0, [756404, 526745]
business : 2804553099, 187, 2, [756404, 354517]
economy : 8857882111, 65, 9, [756404, 526745]
economy : 3088379424, 196, 3, [858007, 526745]
business : 5630880736, 152, 0, [664325, 836762]
economy : 4087738453, 65, 9, [858007, 526745]
economy : 2808994159, 53, 10, [664325, 943823]
business : 5595249874, 135, 0, [996681, 756404]
business : 3394508705, 138, 0, [756404, 354517]
economy : 2876961845, 95, 1, [756404, 943823]
business : 1680254309, 152, 3, [664325, 996681]
first : 6283452125, 164, 9, [810660, 996681]
business : 7727190304, 68, 3, [858007, 526745]
economy : 7009888150, 66, 3, [526745, 810660]
economy : 2888697954, 67, 2, [996681, 526745]
economy : 1089061118, 110, 2, [526745, 858007]
first : 1913718803, 188, 2, [810660, 354517]
economy : 2665891974, 41, 1, [354517, 836762]
economy : 7871712700, 76, 4, [810660, 756404]
economy : 9534223275, 109, 0, [526745, 810660]
economy : 1842886146, 142, 3, [810660, 354517]
economy : 8584718425, 170, 2, [836762, 683734]
economy : 7999540383, 167, 4, [526745, 664325]
economy : 5765277056, 151, 3, [526745, 810660]
economy : 6935774413, 149, 0, [858007, 943823]
economy : 1883792187, 116, 4, [756404, 943823]
business : 5309059135, 83, 0, [996681, 858007]
economy : 4443629561, 192, 0, [943823, 756404]
economy : 4344836388, 184, 1, [996681, 810660]
economy : 8009860795, 56, 0, [526745, 756404]
business : 1094409574, 190, 0, [996681, 526745]
business : 4487502633, 111, 0, [810660, 354517]
economy : 2390126675, 89, 3, [858007, 943823]
business : 9968557370, 93, 2, [756404, 683734]
economy : 6839093234, 176, 0, [996681, 836762]
economy : 7437171527, 167, 10, [354517, 858007]
business : 7427245267, 51, 1, [756404, 664325]
economy : 2989259473, 80, 6, [996681, 526745]
economy : 9921253169, 65, 2, [683734, 858007]
economy : 2605119844, 86, 2, [664325, 943823]
economy : 5827618684, 129, 3, [836762, 996681]
economy : 1923538147, 107, 0, [354517, 664325]
economy : 3459913843, 141, 2, [810660, 354517]
economy : 6631735985, 155, 3, [354517, 858007]
economy : 1140219485, 191, 0, [664325, 810660]
business : 2476791435, 175, 1, [526745, 943823]
business : 1571087254, 157, 2, [836762, 756404]
first : 2361396608, 120, 3, [943823, 664325]
economy : 9196012280, 161, 1, [996681, 810660]
economy : 2895932544, 159, 6, [996681, 858007]
economy : 7774391047, 177, 1, [756404, 996681]
economy : 8125665401, 161, 1, [683734, 526745]
business : 5942447947, 159, 0, [683734, 858007]
economy : 2180841951, 119, 0, [858007, 836762]
economy : 9426456015, 90, 2, [683734, 996681]
economy : 3397970754, 199, 1, [756404, 526745]
first : 8418917418, 60, 1, [664325, 354517]
economy : 8695983517, 74, 2, [836762, 996681]
economy : 2647912638, 188, 2, [354517, 836762]
economy : 9792607409, 133, 1, [664325, 354517]
economy : 8991205147, 134, 2, [756404, 996681]
business : 3652796198, 165, 0, [943823, 836762]
business : 9110035797, 170, 4, [526745, 683734]
economy : 8893945463, 154, 1, [664325, 996681]
business : 9049856793, 51, 4, [836762, 943823]
business : 6114767398, 122, 2, [810660, 943823]
economy : 6588478274, 87, 1, [836762, 943823]
business : 2629125523, 44, 2, [836762, 354517]
economy : 6179979880, 131, 1, [683734, 836762]
economy : 6692804652, 191, 1, [683734, 354517]
business : 7971655667, 177, 1, [526745, 836762]
economy : 4944210939, 99, 2, [756404, 683734]
economy : 8214134692, 68, 0, [858007, 683734]
business : 5779164682, 164, 3, [858007, 943823]
economy : 4092016254, 71, 3, [996681, 836762]
economy : 6942907155, 52, 1, [354517, 683734]
first : 2836266904, 196, 2, [354517, 810660]
business : 9542755535, 146, 0, [526745, 756404]
business : 6870361899, 185, 0, [664325, 354517]
economy : 5407874141, 136, 3, [683734, 756404]
economy : 2084377808, 86, 9, [858007, 526745]
economy : 4801756751, 178, 2, [354517, 836762]
economy : 2299244397, 124, 1, [683734, 836762]
first : 2915960154, 93, 1, [756404, 836762]
business : 4005235657, 200, 1, [756404, 858007]
first : 8824164471, 46, 1, [756404, 996681]
economy : 7828006084, 156, 8, [996681, 354517]
economy : 1393583447, 74, 9, [810660, 756404]
economy : 5039806072, 97, 1, [526745, 836762]
business : 8470444222, 171, 4, [683734, 810660]
economy : 2835210664, 77, 1, [943823, 526745]
economy : 6892400387, 132, 1, [664325, 858007]
luxury : 1507432077, 131, 2, [354517, 943823]
business : 4811714624, 99, 1, [943823, 664325]
economy : 9098286161, 196, 1, [858007, 683734]
economy : 2869701905, 64, 1, [683734, 996681]
economy : 1402534599, 123, 6, [836762, 526745]
business : 3970829394, 41, 2, [810660, 683734]
business : 7521216678, 107, 1, [810660, 683734]
luxury : 2784528802, 66, 2, [836762, 756404]
economy : 5127726947, 74, 1, [664325, 810660]
business : 2358057067, 139, 1, [858007, 836762]
economy : 2673550009, 61, 2, [683734, 664325]
economy : 9661826584, 45, 2, [996681, 354517]
economy : 6787559918, 117, 0, [756404, 526745]
economy : 1819379664, 163, 6, [836762, 858007]
economy : 9854202352, 153, 2, [858007, 756404]
business : 2971128369, 167, 2, [683734, 756404]
economy : 2992375960, 145, 7, [526745, 858007]
economy : 8189782950, 61, 0, [354517, 526745]
economy : 9503912086, 97, 5, [526745, 996681]
economy : 7784259796, 117, 2, [526745, 996681]
economy : 2078408905, 195, 0, [756404, 836762]
first : 1458900831, 58, 1, [756404, 354517]
business : 8248858178, 58, 1, [810660, 354517]
economy : 5044478218, 175, 2, [354517, 810660]
economy : 9664458188, 146, 0, [664325, 354517]
economy : 7631413391, 51, 4, [354517, 858007]
economy : 2886168472, 79, 2, [354517, 683734]
first : 3938393502, 74, 8, [354517, 664325]
economy : 2103872627, 69, 0, [664325, 354517]
economy : 3742338387, 195, 1, [683734, 354517]
business : 8187906846, 111, 5, [836762, 858007]
economy : 4316936650, 126, 8, [858007, 996681]
economy : 6377862587, 74, 5, [836762, 526745]
business : 9155371357, 77, 1, [756404, 836762]
economy : 8851044661, 134, 2, [836762, 858007]
economy : 7370694669, 177, 2, [683734, 354517]
economy : 7260072208, 162, 5, [996681, 354517]
economy : 9097691368, 122, 2, [836762, 354517]
luxury : 7197526428, 62, 2, [943823, 664325]
economy : 9784976077, 76, 1, [996681, 943823]
business : 9203925551, 131, 2, [996681, 836762]
economy : 5521026406, 60, 1, [683734, 354517]
economy : 2332819659, 199, 1, [664325, 683734]
economy : 2588471454, 149, 6, [858007, 996681]
business : 9599297647, 51, 1, [756404, 683734]
economy : 5193673957, 137, 2, [858007, 526745]
economy : 8760491634, 162, 1, [836762, 354517]
economy : 7246646424, 41, 2, [836762, 996681]
economy : 9923649755, 172, 1, [664325, 354517]
economy : 7393910398, 46, 5, [354517, 858007]
business : 2754144766, 58, 2, [683734, 943823]
luxury : 9707353258, 188, 0, [943823, 810660]
economy : 7732847929, 143, 1, [996681, 858007]
economy : 5666978123, 135, 1, [810660, 858007]
economy : 2963646260, 119, 1, [664325, 858007]
business : 9796178285, 137, 1, [683734, 810660]
economy : 9741546557, 173, 2, [664325, 756404]
economy : 9393244448, 190, 2, [996681, 836762]
economy : 2733223313, 78, 10, [354517, 943823]
economy : 3165456355, 146, 1, [683734, 354517]
business : 7933863155, 55, 3, [836762, 526745]
first : 9427305233, 185, 1, [858007, 756404]
economy : 2859542123, 166, 9, [756404, 354517]
economy : 3765952371, 78, 6, [664325, 354517]
business : 9580255686, 158, 2, [810660, 996681]
business : 4754355352, 82, 3, [756404, 664325]
economy : 4992820462, 131, 2, [810660, 526745]
economy : 9695115969, 49, 2, [683734, 943823]
economy : 9805476030, 66, 2, [996681, 810660]
economy : 6848698364, 165, 7, [996681, 526745]
business : 7239479405, 190, 5, [756404, 664325]
economy : 8922641422, 96, 1, [683734, 664325]
economy : 5699867233, 116, 1, [664325, 996681]
economy : 9388376583, 115, 2, [836762, 526745]
economy : 5328491077, 104, 2, [756404, 354517]
