3 10 9729
11970 14445.0 18333 18360 6650
regional : 267593, 44, -1096, 74.03, 102600, 1
major : 781975, 1704, 0, 47.63, 237250, 2
major : 643504, -1624, -2096, 44.55, 194000, 2
major : 559233, 873, 443, 69.96, 196000, 1
hub : 919072, 134, -1780, 59.95, 253500, 2
major : 422578, 1878, 1496, 55.22, 199500, 1
regional : 655078, -736, 341, 94.49, 108000, 1
major : 954691, 2638, -1366, 53.46, 169250, 3
regional : 599912, 812, 29, 84.15, 148000, 1
major : 771686, -2117, 112, 69.52, 208000, 2
business : 7919823383, 163, 3, [267593, 771686]
economy : 3661544122, 128, 9, [781975, 422578]
economy : 9997256037, 103, 1, [655078, 643504]
economy : 5797239056, 68, 3, [599912, 643504]
economy : 8586543807, 133, 1, [954691, 599912]
economy : 2390945557, 132, 1, [422578, 599912]
economy : 2499785595, 95, 0, [643504, 771686]
economy : 5260046104, 150, 1, [267593, 559233]
economy : 7489238961, 173, 3, [655078, 954691]
economy : 8400422166, 128, 1, [559233, 771686]
business : 1324866140, 100, 9, [599912, 655078]
economy : 1853484128, 97, 2, [954691, 267593]
economy : 5400385528, 80, 1, [771686, 643504]
economy : 5023693717, 84, 2, [422578, 267593]
economy : 4669624326, 112, 2, [559233, 781975]
business : 2082480487, 148, 0, [559233, 771686]
economy : 5536216992, 169, 0, [559233, 267593]
economy : 4611139601, 196, 1, [771686, 781975]
economy : 5865312757, 199, 2, [267593, 655078]
economy : 9959009076, 88, 1, [954691, 781975]
business : 9391068338, 70, 2, [655078, 422578]
economy : 5316437574, 170, 0, [599912, 643504]
luxury : 7871019483, 182, 3, [643504, 655078]
economy : 1122981940, 98, 8, [267593, 422578]
economy : 7630620437, 54, 0, [643504, 781975]
economy : 1266457101, 101, 4, [559233, 267593]
business : 3123293166, 155, 2, [643504, 267593]
economy : 5229782399, 91, 2, [781975, 559233]
economy : 9880187609, 190, 1, [559233, 643504]
economy : 1474762560, 128, 2, [771686, 919072]
business : 7987590453, 143, 5, [771686, 655078]
economy : 3158492730, 82, 0, [771686, 655078]
first : 2692397943, 92, 6, [643504, 954691]
economy : 6787611642, 178, 2, [267593, 781975]
