28 34 14799
12042 12847.5 14823 21600 6950
regional : 577376, -2049, 5057, 95.15, 116400, 1
major : 573980, 264, -242, 48.84, 248250, 3
regional : 170683, 2611, 5450, 75.24, 131400, 2
regional : 954360, 3915, -35, 94.82, 147400, 2
major : 387608, -1104, -675, 55.11, 177750, 2
major : 315848, 302, 6203, 50.49, 235000, 3
major : 561317, -201, 1964, 76.67, 208750, 1
regional : 247240, 6779, 723, 68.64, 139000, 2
regional : 534531, -2836, 4332, 98.56, 147800, 2
regional : 421291, 708, -283, 74.36, 113600, 2
regional : 244032, 452, 5365, 71.72, 157800, 2
regional : 901768, -1650, -1155, 69.85, 100800, 2
major : 337164, 19, 1445, 48.73, 212750, 2
regional : 420310, -437, 1136, 100.98, 168200, 1
major : 614004, -6396, -1861, 69.41, 140250, 3
regional : 730621, -4401, -2690, 108.02, 143000, 2
major : 766338, -515, -2242, 74.58, 237250, 2
regional : 591766, -1370, 4486, 77.22, 120600, 2
regional : 317969, -2073, -5250, 75.35, 135200, 2
major : 611038, -1520, -720, 69.96, 141750, 3
regional : 328140, 231, 2743, 82.61, 103800, 2
hub : 927166, 6657, 236, 56.43, 186000, 4
regional : 761992, 505, 456, 79.86, 125600, 2
regional : 230731, -3079, -6282, 79.2, 163200, 1
major : 948108, -198, 30, 70.84, 241750, 2
regional : 871898, 2698, -5895, 97.13, 130000, 2
regional : 548890, -5879, -3738, 98.67, 173400, 1
regional : 927692, 1091, 3942, 100.21, 180000, 1
regional : 227851, -1777, -2663, 92.73, 100600, 1
major : 530421, 266, -996, 65.12, 169750, 2
major : 828895, 2449, -2059, 49.06, 176500, 2
hub : 240748, -1189, 1453, 66.0, 297900, 5
regional : 229431, 280, -4859, 105.49, 152600, 1
hub : 545206, -1048, -2798, 42.24, 191100, 4
business : 3437380050, 194, 4, [337164, 573980]
economy : 6109165006, 117, 2, [227851, 545206]
economy : 5458948495, 179, 10, [229431, 548890]
economy : 5849600526, 87, 4, [614004, 170683]
economy : 7388266451, 112, 1, [614004, 387608]
business : 3525840557, 153, 2, [948108, 244032]
economy : 9295256143, 68, 1, [420310, 927692]
economy : 3956585831, 42, 0, [230731, 420310]
economy : 8846232904, 122, 1, [420310, 545206]
economy : 2089070063, 181, 6, [227851, 545206]
economy : 2444242701, 108, 0, [954360, 573980]
business : 8640744326, 51, 1, [227851, 577376]
economy : 3212043570, 87, 2, [948108, 730621]
economy : 9771988993, 77, 2, [337164, 548890]
economy : 2368313402, 77, 2, [244032, 871898]
economy : 3363316888, 119, 2, [317969, 591766]
economy : 8536268868, 181, 2, [766338, 421291]
economy : 1705117163, 170, 3, [871898, 229431]
economy : 3338263770, 150, 0, [387608, 614004]
economy : 3723568999, 151, 1, [561317, 828895]
first : 9873537114, 59, 1, [761992, 948108]
economy : 9845620137, 46, 0, [315848, 730621]
business : 5696164287, 42, 2, [230731, 901768]
economy : 5327243559, 68, 1, [954360, 614004]
economy : 5187394893, 82, 2, [573980, 337164]
economy : 3581987986, 51, 7, [229431, 901768]
economy : 1990942957, 78, 2, [530421, 230731]
economy : 4446932531, 194, 0, [614004, 761992]
economy : 3932209231, 101, 1, [317969, 948108]
economy : 7666391375, 120, 1, [927166, 927692]
first : 5427448639, 179, 6, [247240, 317969]
economy : 6053790006, 77, 2, [614004, 328140]
economy : 3812514337, 92, 3, [548890, 328140]
luxury : 5188750702, 88, 1, [561317, 901768]
economy : 4651373242, 100, 2, [534531, 573980]
economy : 5629894652, 94, 0, [229431, 561317]
business : 8319285153, 136, 1, [730621, 548890]
economy : 1981796672, 191, 1, [573980, 244032]
economy : 2789620068, 85, 1, [927166, 548890]
