25 26 14356
10854 15502.5 17145 23652 6190
regional : 734885, -5381, -2264, 97.13, 107400, 1
hub : 125426, 1714, 6651, 39.05, 154200, 3
major : 821303, -3544, -2672, 64.68, 180250, 1
hub : 333986, -431, 1670, 46.2, 239400, 5
regional : 571477, 1081, -584, 84.15, 169600, 1
major : 239898, 505, -6695, 66.33, 161500, 2
regional : 339960, -1526, 3967, 105.49, 166000, 2
regional : 577199, 2192, 2449, 74.14, 199200, 2
regional : 113662, 208, 15, 100.98, 146800, 1
regional : 500452, 2591, 1117, 104.39, 176000, 1
major : 462263, 4146, 2741, 57.86, 172250, 3
hub : 105496, -1029, 3719, 38.06, 263400, 2
major : 953940, -26, -5969, 73.15, 222750, 2
regional : 688829, 199, 445, 85.47, 110200, 2
major : 375833, -408, 22, 60.39, 175250, 3
regional : 430760, 4337, -3035, 96.47, 113000, 2
regional : 192000, 4048, -3591, 89.32, 143600, 1
regional : 850646, 540, 3267, 87.56, 167800, 2
regional : 210073, -3958, 493, 103.73, 115000, 1
regional : 196132, -2918, -285, 100.43, 134200, 2
hub : 643456, -990, -1232, 56.65, 260700, 4
hub : 688919, 412, 1268, 36.3, 178800, 4
hub : 657339, -4368, 0, 56.87, 201000, 2
major : 928276, -1231, -220, 57.97, 137750, 1
regional : 271145, 1676, 813, 106.26, 187400, 2
hub : 299509, 837, 1061, 59.4, 255000, 3
economy : 4649084555, 187, 1, [339960, 688829]
economy : 3745400399, 105, 1, [125426, 333986]
economy : 4836558062, 132, 10, [953940, 192000]
economy : 5902445480, 67, 0, [430760, 734885]
luxury : 5493873824, 94, 2, [333986, 500452]
economy : 1665082095, 93, 3, [271145, 210073]
economy : 2140336020, 86, 1, [192000, 571477]
economy : 3044754325, 191, 1, [462263, 928276]
business : 1813279513, 67, 0, [196132, 928276]
economy : 8294436195, 87, 1, [928276, 430760]
luxury : 1831787430, 193, 9, [462263, 339960]
economy : 8669827619, 104, 4, [196132, 577199]
first : 4599300167, 165, 1, [125426, 850646]
business : 7027227228, 112, 1, [500452, 734885]
economy : 1609424704, 127, 2, [688919, 688829]
economy : 7102393557, 157, 2, [643456, 299509]
economy : 6422547655, 122, 0, [299509, 821303]
economy : 8185038562, 196, 2, [500452, 821303]
first : 1914461091, 79, 5, [734885, 105496]
economy : 6703028731, 173, 2, [339960, 375833]
business : 3559226152, 75, 1, [688829, 239898]
luxury : 9785422257, 165, 2, [375833, 577199]
business : 3506043356, 162, 2, [953940, 105496]
economy : 4666627568, 82, 4, [339960, 688829]
economy : 1012929606, 102, 2, [105496, 688829]
economy : 8410163790, 40, 0, [271145, 239898]
economy : 3287417739, 134, 3, [333986, 643456]
economy : 8733250501, 95, 2, [375833, 339960]
business : 7758551172, 78, 5, [571477, 462263]
economy : 3711533159, 49, 1, [688919, 928276]
economy : 2898101268, 192, 10, [688829, 271145]
economy : 9425256188, 77, 2, [196132, 462263]
economy : 2155214237, 144, 1, [192000, 688829]
business : 7614104916, 126, 7, [113662, 462263]
luxury : 7024481536, 44, 2, [688829, 688919]
business : 4379584862, 174, 1, [657339, 850646]
economy : 5898520652, 196, 0, [734885, 105496]
business : 7292910408, 189, 1, [643456, 577199]
economy : 6911439369, 185, 1, [333986, 500452]
economy : 6456642442, 133, 3, [125426, 850646]
business : 1629943295, 108, 0, [688919, 271145]
economy : 5055229490, 149, 2, [577199, 239898]
economy : 3056240140, 101, 2, [734885, 821303]
economy : 6414909576, 85, 0, [953940, 105496]
economy : 5631984201, 63, 7, [462263, 113662]
business : 5172126061, 44, 2, [430760, 850646]
economy : 7701578876, 132, 3, [339960, 577199]
economy : 9862580550, 124, 1, [375833, 657339]
business : 1214998002, 41, 0, [271145, 688919]
