30 29 8336
9000 11655.0 16848 22176 6480
major : 995420, 4413, 5109, 51.26, 239250, 3
major : 446394, -397, -1880, 54.34, 191000, 4
regional : 686764, -1774, -142, 76.45, 184600, 3
major : 668718, 1900, 5513, 50.6, 148500, 6
regional : 303051, 6026, 213, 85.69, 194800, 2
regional : 756789, 1036, 1413, 74.58, 186200, 3
major : 389377, -773, 1137, 58.08, 246250, 5
major : 573615, 210, -71, 46.09, 139500, 6
regional : 204530, -6407, -741, 88.88, 169000, 4
regional : 995527, 1723, 1229, 83.93, 103000, 3
hub : 420293, -386, 1614, 58.3, 296700, 4
regional : 287512, 1170, 1822, 87.34, 155200, 2
regional : 896239, -6057, -1939, 86.13, 108600, 4
hub : 344932, -1772, 5143, 55.11, 167400, 4
regional : 992708, 3630, -716, 106.15, 181200, 4
major : 539973, -3944, -2132, 56.98, 177000, 6
hub : 169375, 2320, 1593, 44.99, 285900, 8
regional : 406687, -1307, -128, 81.4, 141200, 3
regional : 985287, 5516, -1765, 85.14, 169600, 3
major : 167016, -458, 2773, 66.22, 132250, 4
major : 307757, 2943, 4495, 58.63, 182750, 4
major : 458697, 82, 595, 69.96, 129250, 3
major : 680908, 2688, -5739, 67.76, 142000, 5
regional : 877477, -1316, -1299, 86.57, 153000, 3
major : 748213, -2775, 624, 47.96, 190000, 5
regional : 255507, 2893, 3119, 109.01, 164000, 2
major : 732668, -2760, -6325, 44.44, 242750, 3
regional : 964690, 3620, -1523, 76.34, 152000, 4
hub : 860035, -1595, -705, 38.83, 166500, 5
economy : 3211281379, 169, 1, [995420, 877477]
first : 8197541372, 168, 1, [539973, 406687]
economy : 8938750844, 78, 6, [303051, 406687]
business : 1026749779, 77, 1, [344932, 167016]
business : 7318381878, 111, 2, [985287, 964690]
economy : 7013587011, 89, 3, [458697, 420293]
first : 7597792693, 155, 1, [406687, 539973]
economy : 6772184041, 48, 1, [995527, 446394]
economy : 7997769373, 123, 8, [169375, 756789]
economy : 4823180548, 174, 1, [406687, 748213]
business : 2701970041, 152, 2, [995420, 877477]
economy : 8938839945, 51, 2, [877477, 995420]
first : 7160444619, 187, 1, [169375, 756789]
first : 4077436294, 185, 9, [896239, 732668]
economy : 8965132257, 177, 1, [995420, 877477]
first : 7803679178, 79, 1, [420293, 668718]
economy : 3081654940, 150, 1, [446394, 680908]
economy : 8382829588, 199, 10, [995420, 446394]
economy : 2620341356, 97, 2, [420293, 255507]
economy : 4730356807, 178, 2, [539973, 573615]
economy : 2593955583, 132, 2, [287512, 420293]
economy : 1264071493, 122, 2, [307757, 458697]
economy : 8182830145, 163, 1, [668718, 573615]
economy : 6089212530, 41, 2, [303051, 420293]
economy : 3287556523, 130, 3, [995527, 748213]
economy : 5687563332, 63, 2, [877477, 896239]
economy : 8656560051, 138, 3, [860035, 573615]
economy : 7241336947, 178, 0, [964690, 204530]
business : 5472133348, 58, 3, [307757, 985287]
economy : 4806451077, 177, 6, [406687, 985287]
first : 8474147165, 181, 1, [877477, 539973]
economy : 2102166964, 140, 9, [748213, 406687]
economy : 5712634175, 80, 1, [287512, 985287]
economy : 6135210221, 176, 1, [458697, 573615]
economy : 9836850225, 200, 2, [748213, 204530]
economy : 7861468530, 100, 5, [686764, 964690]
business : 3105710590, 136, 1, [964690, 420293]
economy : 7408239451, 169, 4, [344932, 458697]
business : 6974608373, 87, 2, [539973, 877477]
economy : 8125852090, 116, 0, [995527, 303051]
economy : 3373329058, 166, 0, [756789, 287512]
economy : 7521609885, 152, 1, [992708, 420293]
economy : 8007031602, 161, 2, [680908, 420293]
first : 4679837951, 76, 1, [167016, 458697]
economy : 1381009157, 69, 1, [344932, 573615]
economy : 6368121852, 78, 2, [860035, 995527]
economy : 4500033050, 66, 10, [344932, 680908]
business : 3039185484, 130, 2, [860035, 458697]
economy : 8607271594, 134, 2, [307757, 406687]
economy : 4088807949, 51, 2, [406687, 995527]
economy : 6648696223, 134, 9, [204530, 985287]
economy : 1238247516, 71, 0, [668718, 573615]
business : 6540613347, 132, 2, [995527, 877477]
economy : 7588930853, 154, 1, [748213, 169375]
economy : 4205294990, 174, 0, [732668, 573615]
economy : 9180064621, 56, 3, [573615, 169375]
economy : 1872946324, 138, 3, [686764, 420293]
economy : 2447866278, 51, 5, [420293, 344932]
economy : 6180497384, 170, 8, [303051, 344932]
