25 30 9956
12312 12555.0 16929 23904 5460
regional : 688855, -1761, -1142, 105.16, 162200, 1
regional : 741727, -5164, 3220, 85.91, 113600, 2
major : 237070, -5158, -1501, 57.97, 141750, 2
major : 496768, -1399, -2222, 50.71, 148250, 1
major : 278797, 160, 1565, 72.82, 146750, 3
regional : 965498, 5742, 3795, 106.81, 160400, 2
hub : 556721, 515, -2953, 42.79, 156300, 3
regional : 714924, -918, 285, 99.44, 155200, 1
major : 418206, 4500, 3456, 61.6, 152750, 3
major : 976171, 5097, 773, 50.93, 160750, 2
regional : 634045, -1154, -1797, 72.49, 196400, 1
regional : 230792, 3972, -2239, 68.53, 197600, 1
regional : 292883, 371, -445, 85.14, 163400, 1
major : 349552, -5377, 1209, 53.02, 242750, 1
hub : 437247, -2969, -2157, 46.09, 252900, 2
regional : 850666, 1408, 75, 83.6, 100400, 2
major : 711871, -5500, 2371, 53.35, 213500, 1
hub : 593042, -4917, 1015, 61.05, 226800, 4
regional : 973666, 1843, 6661, 106.48, 171000, 2
regional : 653442, 1416, -5298, 67.76, 158400, 1
regional : 485027, -3659, -2149, 78.32, 129600, 1
major : 288975, -340, -2179, 49.83, 210250, 1
major : 433644, -83, 989, 53.57, 174500, 2
regional : 861782, 1159, -4668, 97.57, 110800, 2
regional : 775657, 1099, -1047, 106.15, 155600, 2
regional : 386861, 5666, -3194, 75.13, 125000, 1
regional : 585737, 74, -79, 77.22, 192000, 1
hub : 349296, 5512, -786, 53.24, 254400, 4
major : 447789, 2244, 3299, 46.31, 174250, 1
major : 604721, -5055, 1767, 70.84, 202750, 2
economy : 3021478207, 80, 1, [288975, 230792]
economy : 8454483146, 72, 5, [714924, 976171]
economy : 7743591836, 160, 0, [965498, 976171]
business : 2052254939, 44, 4, [418206, 288975]
economy : 8083134050, 180, 1, [485027, 349552]
economy : 2931711603, 80, 4, [585737, 485027]
economy : 7593182007, 178, 5, [861782, 634045]
first : 7181602497, 135, 0, [741727, 230792]
economy : 1051125892, 178, 0, [861782, 496768]
economy : 8164072068, 138, 2, [288975, 496768]
business : 5474915010, 126, 3, [965498, 386861]
economy : 8348775488, 133, 1, [604721, 634045]
economy : 8576101507, 146, 1, [634045, 349552]
economy : 5670430905, 131, 5, [714924, 237070]
economy : 2273832859, 58, 3, [973666, 278797]
economy : 9487299306, 107, 2, [386861, 976171]
economy : 6046336808, 141, 2, [278797, 604721]
economy : 1337500358, 172, 4, [418206, 433644]
economy : 9759843316, 62, 8, [973666, 292883]
business : 5412922933, 129, 7, [976171, 349552]
business : 6516080774, 149, 1, [775657, 349296]
business : 2960042171, 53, 2, [711871, 604721]
first : 5752607258, 104, 4, [418206, 861782]
business : 5154418419, 129, 5, [433644, 447789]
economy : 4330583208, 154, 1, [850666, 437247]
first : 9714968990, 159, 2, [433644, 976171]
business : 5358592069, 183, 1, [556721, 433644]
economy : 3392298766, 58, 2, [711871, 230792]
economy : 5893501657, 127, 5, [349296, 850666]
economy : 8852048371, 149, 2, [349296, 230792]
economy : 2285054542, 63, 2, [775657, 437247]
business : 8827876559, 126, 1, [556721, 688855]
luxury : 8849583894, 159, 6, [349296, 585737]
economy : 3730932371, 98, 5, [775657, 653442]
economy : 4181734499, 157, 2, [593042, 437247]
business : 9046616703, 62, 1, [741727, 634045]
business : 9874550567, 159, 3, [556721, 714924]
economy : 9931184945, 135, 0, [230792, 741727]
business : 1948035635, 138, 1, [965498, 585737]
economy : 2617153583, 102, 2, [447789, 976171]
economy : 4398562950, 154, 2, [965498, 447789]
economy : 5329952891, 142, 7, [850666, 775657]
economy : 4766108886, 183, 2, [688855, 237070]
economy : 2486882016, 82, 2, [741727, 965498]
business : 5629503352, 90, 2, [437247, 653442]
first : 2758117897, 87, 2, [775657, 496768]
economy : 1199376228, 183, 3, [688855, 278797]
economy : 3739594663, 104, 7, [775657, 485027]
economy : 9304620570, 106, 1, [634045, 386861]
economy : 7203775698, 142, 2, [433644, 447789]
economy : 3427176707, 183, 2, [386861, 418206]
economy : 7839451029, 179, 7, [278797, 556721]
economy : 4590852562, 130, 1, [556721, 634045]
economy : 9933981362, 48, 5, [861782, 556721]
economy : 2123695597, 118, 0, [634045, 437247]
economy : 5713153813, 145, 4, [850666, 349552]
economy : 3661554212, 198, 3, [604721, 349552]
economy : 5906901083, 142, 1, [688855, 349552]
economy : 5070778719, 165, 1, [850666, 230792]
economy : 1618344872, 101, 2, [292883, 447789]
business : 8185720813, 52, 1, [976171, 634045]
first : 3341988174, 150, 6, [973666, 653442]
economy : 7542985018, 159, 1, [593042, 711871]
business : 1522123723, 168, 1, [278797, 688855]
economy : 6925755960, 87, 1, [556721, 288975]
