29 28 9967
12258 15390.0 14256 20268 5140
regional : 585685, 5986, 638, 74.14, 196200, 4
hub : 517157, 5468, 291, 46.75, 258300, 10
major : 562900, -2372, 1023, 51.92, 168750, 3
regional : 575129, -2231, 4083, 76.78, 128400, 2
hub : 480887, 1294, -2419, 33.55, 200700, 5
hub : 235132, -989, 926, 62.59, 215700, 4
major : 707326, -2219, -3977, 75.02, 152500, 4
hub : 907409, 2359, 6471, 38.06, 277800, 5
hub : 810268, -1849, 1270, 59.73, 153000, 10
major : 669372, -482, -1440, 62.15, 152250, 5
hub : 330393, -1614, 3219, 64.9, 294300, 7
regional : 533266, 3379, -2642, 74.91, 153400, 4
regional : 132974, 6290, -2013, 100.1, 119400, 3
hub : 873042, 3867, -4096, 62.81, 260400, 8
regional : 644760, -1086, -1947, 98.56, 189200, 2
regional : 447630, 195, -31, 83.93, 123800, 2
major : 406108, 5743, -1671, 67.76, 223500, 6
regional : 403444, 4379, 1359, 93.5, 164800, 3
major : 295686, -725, -667, 76.34, 234500, 6
major : 519248, 2480, 88, 56.32, 138750, 3
major : 233418, 3014, -4347, 55.66, 243500, 3
hub : 197919, -5206, -1123, 41.69, 244800, 10
major : 146580, 176, 5672, 67.32, 219250, 3
major : 440641, -2009, 2167, 55.33, 244750, 5
hub : 331816, -1411, -1025, 57.97, 204000, 10
regional : 410850, 5424, -4242, 89.21, 186800, 3
major : 779397, 183, 999, 66.55, 145000, 5
regional : 672279, 2636, 921, 67.54, 186800, 3
economy : 3330575296, 52, 2, [517157, 669372]
economy : 5626123211, 130, 0, [672279, 585685]
first : 5938014869, 163, 9, [146580, 440641]
economy : 1287658960, 186, 2, [440641, 907409]
business : 5072345833, 86, 4, [330393, 779397]
economy : 2920938504, 148, 1, [517157, 533266]
business : 6883870957, 70, 1, [447630, 197919]
first : 9553285671, 111, 1, [447630, 330393]
economy : 7527011521, 80, 0, [669372, 410850]
business : 9099939998, 182, 2, [331816, 810268]
economy : 7799777902, 150, 2, [644760, 233418]
economy : 2122021813, 55, 0, [810268, 519248]
economy : 3726780903, 155, 1, [779397, 480887]
economy : 3933315825, 187, 1, [403444, 235132]
business : 5150497101, 199, 2, [562900, 233418]
economy : 2193457195, 104, 1, [410850, 585685]
business : 5985810654, 58, 0, [517157, 410850]
economy : 8323240691, 56, 1, [406108, 810268]
economy : 8581170590, 149, 2, [585685, 233418]
economy : 8270048953, 185, 1, [447630, 519248]
economy : 3953247373, 67, 1, [146580, 669372]
economy : 3604015732, 60, 1, [331816, 669372]
economy : 7099936420, 169, 1, [233418, 146580]
economy : 5795917175, 56, 6, [406108, 440641]
economy : 4482038766, 162, 1, [562900, 873042]
economy : 2886149395, 114, 0, [644760, 331816]
business : 9230314673, 152, 10, [672279, 562900]
economy : 7725802757, 108, 3, [330393, 672279]
business : 7460032759, 112, 6, [644760, 480887]
economy : 3584364684, 86, 3, [810268, 669372]
economy : 9173014835, 119, 2, [517157, 669372]
business : 4070120500, 81, 0, [233418, 330393]
economy : 8945335470, 192, 0, [132974, 233418]
economy : 1852844797, 79, 2, [779397, 233418]
economy : 1973403573, 187, 1, [447630, 331816]
business : 4637895826, 189, 1, [440641, 233418]
economy : 1974413966, 198, 2, [132974, 406108]
economy : 7569108671, 196, 3, [235132, 330393]
economy : 6847570512, 182, 2, [810268, 410850]
business : 4961688193, 189, 8, [235132, 575129]
economy : 4743605692, 68, 1, [672279, 575129]
business : 4345249924, 123, 1, [644760, 403444]
economy : 4673728042, 169, 3, [707326, 533266]
economy : 9151893550, 99, 3, [331816, 295686]
economy : 7709595138, 64, 10, [197919, 517157]
economy : 5072827355, 190, 2, [519248, 406108]
economy : 2700022869, 77, 1, [907409, 517157]
business : 5802876856, 114, 1, [403444, 644760]
economy : 7080165429, 86, 1, [707326, 810268]
business : 3516102795, 59, 1, [447630, 517157]
economy : 2865210743, 140, 8, [447630, 480887]
business : 4307381575, 59, 1, [644760, 873042]
luxury : 1549133080, 160, 6, [410850, 295686]
economy : 7686413880, 56, 6, [410850, 146580]
business : 8254730520, 78, 6, [410850, 907409]
economy : 1613870852, 148, 9, [197919, 295686]
economy : 8915691758, 71, 2, [403444, 575129]
economy : 8793220008, 52, 1, [575129, 707326]
business : 7303451094, 66, 1, [779397, 669372]
economy : 5458874151, 121, 1, [562900, 575129]
economy : 4486509771, 67, 1, [669372, 440641]
economy : 1712707043, 193, 5, [707326, 410850]
economy : 3201273371, 42, 1, [873042, 480887]
economy : 6236132362, 176, 5, [585685, 873042]
economy : 1038956881, 67, 1, [519248, 707326]
economy : 5747276054, 65, 1, [672279, 669372]
