25 19 8639
11610 12150.0 14337 18648 5170
hub : 534970, -15684, -6599, 36.08, 198600, 6
regional : 957944, 3150, 1425, 72.71, 157000, 4
regional : 174630, 158, 11950, 101.42, 123200, 2
regional : 509816, -7958, 6812, 79.2, 103800, 2
regional : 436747, 6850, 364, 92.29, 135000, 3
regional : 951649, 4129, 6431, 93.94, 161000, 3
hub : 624461, 7237, 17863, 38.17, 216900, 7
regional : 620175, 11207, 3478, 69.52, 185200, 4
major : 956189, -4420, -5703, 60.5, 235500, 6
regional : 784311, -7068, -3122, 76.78, 112400, 4
hub : 348166, -100, 497, 47.41, 180300, 5
regional : 221401, 1786, -571, 68.53, 190000, 3
regional : 933030, 7279, 11337, 99.55, 139800, 3
hub : 227300, 16455, 6414, 41.91, 167400, 6
hub : 758574, 1497, 10179, 56.65, 245400, 9
hub : 443272, 10639, 15641, 39.38, 255300, 7
major : 316884, -7005, -17740, 44.11, 142250, 5
hub : 520548, -5162, -5277, 61.27, 178200, 4
regional : 725492, -7861, 838, 104.5, 194400, 3
economy : 3655075014, 102, 1, [957944, 534970]
economy : 9001709285, 166, 3, [758574, 520548]
economy : 1049370701, 49, 2, [957944, 784311]
economy : 6727544265, 137, 2, [443272, 227300]
economy : 8637496073, 99, 2, [436747, 725492]
economy : 9245892737, 95, 1, [620175, 443272]
business : 7795578469, 120, 2, [348166, 620175]
economy : 2540153367, 182, 1, [221401, 436747]
economy : 7211309699, 54, 0, [758574, 951649]
economy : 2740733141, 73, 0, [784311, 316884]
economy : 3164803357, 75, 1, [316884, 436747]
economy : 8273421609, 177, 0, [436747, 784311]
economy : 7257139572, 126, 2, [620175, 520548]
economy : 2607510110, 117, 0, [534970, 221401]
first : 2726183725, 85, 3, [227300, 758574]
business : 1377144734, 169, 1, [509816, 443272]
economy : 4894510887, 197, 0, [933030, 620175]
business : 9090217769, 187, 2, [956189, 509816]
economy : 9118807320, 192, 1, [534970, 221401]
economy : 2302465294, 53, 5, [436747, 443272]
business : 5305822527, 115, 1, [509816, 174630]
economy : 6706421421, 41, 0, [348166, 725492]
first : 1183436208, 103, 2, [520548, 620175]
economy : 5293574068, 90, 2, [509816, 784311]
economy : 4547751852, 160, 1, [348166, 221401]
economy : 1030838669, 187, 1, [436747, 534970]
economy : 2341260317, 122, 0, [534970, 624461]
economy : 3524385287, 84, 4, [758574, 951649]
first : 2957059773, 117, 2, [221401, 758574]
economy : 6864435124, 161, 3, [620175, 221401]
business : 6205207817, 88, 2, [221401, 620175]
economy : 1931947728, 176, 2, [174630, 509816]
economy : 3103377475, 97, 4, [624461, 436747]
business : 1082921175, 187, 2, [933030, 758574]
economy : 1054998526, 146, 1, [316884, 725492]
economy : 2563943473, 129, 3, [227300, 784311]
economy : 7122913986, 199, 1, [956189, 784311]
economy : 5695346068, 143, 2, [509816, 534970]
economy : 6550758384, 46, 0, [348166, 956189]
economy : 7664112502, 86, 1, [227300, 436747]
