6 10 4733
11250 12307.5 14121 19080 7000
major : 348214, -577, -916, 52.69, 169750, 1
regional : 217217, -108, -48, 84.81, 162800, 2
major : 973468, -1357, -1489, 62.26, 182750, 2
major : 681038, 327, 400, 51.37, 184000, 1
regional : 243403, -1062, 2376, 74.14, 144600, 1
major : 160336, 1102, 2863, 50.71, 237750, 1
hub : 317791, 570, -735, 63.03, 171600, 3
regional : 209342, 1264, 0, 103.84, 194000, 1
regional : 811391, -2782, 1734, 74.91, 181400, 2
regional : 211062, -269, 1468, 82.72, 147200, 1
economy : 3684327381, 140, 2, [209342, 811391]
business : 2429460284, 44, 2, [217217, 811391]
economy : 8766778065, 180, 2, [243403, 217217]
business : 1815069967, 165, 4, [317791, 217217]
business : 8081269357, 107, 1, [681038, 348214]
economy : 9630615785, 187, 1, [243403, 211062]
economy : 3829227781, 186, 6, [243403, 160336]
economy : 2314424029, 66, 1, [217217, 348214]
economy : 1461317227, 179, 1, [211062, 681038]
economy : 5586307334, 82, 0, [973468, 681038]
economy : 8245804134, 200, 3, [973468, 348214]
business : 3587304670, 197, 1, [211062, 160336]
business : 9971277946, 95, 1, [973468, 243403]
economy : 3477053048, 158, 8, [209342, 681038]
economy : 6606176252, 162, 2, [681038, 217217]
economy : 8001680812, 181, 2, [160336, 973468]
economy : 5173920792, 154, 2, [160336, 209342]
business : 7148141625, 47, 3, [973468, 348214]
business : 5211834686, 188, 1, [243403, 681038]
luxury : 9098201868, 73, 2, [348214, 243403]
economy : 9743677948, 151, 2, [973468, 217217]
economy : 6992021242, 196, 1, [681038, 217217]
economy : 7273073210, 136, 2, [973468, 317791]
economy : 6829185084, 189, 7, [209342, 973468]
business : 5147016650, 116, 1, [209342, 973468]
economy : 3553789735, 173, 7, [217217, 160336]
economy : 5082707136, 120, 0, [681038, 317791]
economy : 5588723113, 49, 6, [973468, 211062]
business : 9474326352, 78, 3, [973468, 211062]
business : 2979540967, 88, 3, [217217, 348214]
economy : 7815451493, 136, 2, [243403, 681038]
economy : 1614259207, 65, 6, [243403, 317791]
business : 4296485078, 128, 2, [243403, 317791]
luxury : 6243249057, 86, 0, [681038, 160336]
economy : 1144332140, 188, 1, [681038, 317791]
economy : 4486735765, 174, 0, [348214, 217217]
economy : 4499961808, 160, 1, [973468, 217217]
economy : 3750034664, 71, 2, [211062, 243403]
economy : 7256583551, 121, 0, [160336, 811391]
first : 8174469287, 159, 4, [317791, 811391]
economy : 1314305781, 158, 2, [348214, 160336]
business : 3273605171, 64, 1, [317791, 211062]
business : 1034189744, 148, 0, [811391, 211062]
business : 3216650694, 104, 2, [160336, 348214]
business : 5375852634, 42, 1, [209342, 973468]
business : 6514523527, 64, 2, [973468, 209342]
business : 7439268613, 167, 1, [243403, 348214]
business : 7765398788, 69, 0, [348214, 160336]
economy : 7482759357, 130, 1, [317791, 348214]
economy : 7903391921, 134, 4, [160336, 211062]
economy : 2839587402, 125, 4, [209342, 681038]
economy : 9797217859, 111, 1, [217217, 348214]
economy : 7923277589, 185, 0, [348214, 209342]
economy : 4118675819, 185, 2, [217217, 243403]
first : 7175113282, 114, 2, [243403, 681038]
economy : 1055006583, 94, 2, [209342, 160336]
economy : 5342710067, 138, 2, [209342, 243403]
economy : 6813008573, 89, 0, [160336, 217217]
first : 9791546581, 178, 9, [160336, 317791]
economy : 5886138509, 59, 4, [681038, 209342]
economy : 5928310085, 43, 1, [243403, 348214]
economy : 2093210531, 45, 2, [317791, 811391]
luxury : 4410720180, 50, 1, [811391, 211062]
economy : 5042438677, 90, 1, [811391, 681038]
economy : 4817219184, 77, 1, [243403, 348214]
business : 4565041624, 180, 2, [973468, 811391]
economy : 6724004679, 76, 2, [973468, 243403]
economy : 4783241345, 62, 1, [681038, 209342]
economy : 5399446408, 175, 3, [811391, 160336]
economy : 6834971444, 82, 0, [348214, 317791]
economy : 2634436787, 121, 10, [681038, 160336]
economy : 5422716194, 57, 2, [160336, 811391]
luxury : 1813692590, 192, 2, [217217, 973468]
business : 1822217127, 59, 1, [348214, 217217]
economy : 8843930641, 40, 1, [209342, 243403]
economy : 7036508075, 186, 3, [973468, 160336]
