1 10 7198
9558 11925.0 18684 23508 6540
regional : 400400, 1037, -3291, 92.95, 147200, 1
regional : 369083, 537, 1397, 66.11, 105600, 1
hub : 301659, 856, 434, 39.05, 238500, 5
regional : 218027, -11, -2468, 94.93, 176400, 2
major : 804241, -554, -3177, 61.6, 131000, 2
hub : 553210, 2692, -215, 38.28, 244500, 5
regional : 592579, -970, -3280, 102.41, 187800, 1
regional : 767346, 1793, 1231, 67.76, 195400, 2
regional : 197739, 76, -22, 102.85, 146600, 2
major : 505121, -1041, 3020, 47.63, 135000, 1
economy : 1171015921, 148, 1, [197739, 369083]
economy : 9764489470, 53, 4, [369083, 767346]
economy : 4630329831, 197, 2, [197739, 592579]
business : 3391452231, 68, 0, [218027, 553210]
economy : 3164726449, 168, 0, [400400, 505121]
economy : 9914426272, 131, 2, [804241, 767346]
economy : 8809996877, 127, 8, [505121, 400400]
business : 3986966657, 120, 1, [804241, 197739]
economy : 8140524925, 184, 2, [804241, 218027]
economy : 6865099127, 82, 2, [400400, 553210]
economy : 6306857459, 88, 8, [505121, 804241]
economy : 6090301562, 131, 1, [767346, 804241]
economy : 7907127343, 181, 1, [301659, 197739]
business : 2277694175, 180, 7, [218027, 301659]
economy : 7107459803, 198, 0, [369083, 804241]
economy : 4495413868, 135, 5, [400400, 218027]
economy : 3898401203, 89, 6, [301659, 400400]
business : 4028779258, 134, 0, [592579, 400400]
economy : 5219173529, 72, 2, [767346, 369083]
business : 8680008060, 184, 0, [553210, 592579]
economy : 7690459380, 95, 2, [804241, 218027]
luxury : 6790894216, 44, 1, [400400, 218027]
economy : 1992880953, 138, 9, [767346, 400400]
economy : 1960986511, 121, 1, [400400, 804241]
economy : 1715489585, 197, 2, [301659, 804241]
business : 5292869795, 182, 1, [767346, 505121]
first : 8770103717, 147, 5, [369083, 767346]
business : 2551861941, 101, 2, [197739, 218027]
economy : 1477332887, 145, 2, [767346, 505121]
economy : 6016261552, 178, 1, [505121, 553210]
economy : 1074196147, 47, 0, [592579, 369083]
economy : 3437485886, 84, 1, [400400, 218027]
first : 6466843237, 131, 10, [301659, 218027]
economy : 3638981899, 199, 5, [369083, 197739]
economy : 4939686268, 101, 5, [804241, 218027]
business : 8414788547, 52, 0, [369083, 804241]
first : 9158004324, 181, 8, [301659, 400400]
business : 5503549069, 44, 1, [553210, 197739]
economy : 5029047024, 54, 2, [804241, 592579]
economy : 9517565753, 64, 1, [592579, 804241]
business : 1579878682, 49, 2, [767346, 218027]
economy : 2085427437, 65, 1, [592579, 505121]
business : 4486639886, 165, 4, [301659, 804241]
economy : 9178662192, 85, 1, [400400, 197739]
economy : 1352708704, 168, 1, [197739, 218027]
first : 8593797040, 166, 2, [400400, 301659]
economy : 6965524364, 43, 1, [301659, 804241]
economy : 6145957268, 108, 3, [197739, 369083]
economy : 4856022502, 161, 2, [197739, 553210]
business : 3806048311, 186, 2, [218027, 197739]
economy : 4112708310, 45, 1, [804241, 592579]
economy : 6674687327, 146, 3, [804241, 197739]
first : 9025760045, 84, 2, [301659, 218027]
economy : 3208150777, 141, 1, [197739, 400400]
economy : 9931346391, 190, 2, [218027, 197739]
economy : 7663489918, 57, 1, [301659, 197739]
luxury : 4355607546, 144, 10, [218027, 553210]
economy : 5993867463, 82, 1, [505121, 301659]
economy : 7818761078, 72, 1, [804241, 592579]
economy : 1208856735, 154, 5, [592579, 505121]
business : 4430593240, 74, 2, [804241, 505121]
economy : 8324383654, 193, 0, [197739, 218027]
economy : 6956873970, 155, 9, [369083, 592579]
first : 3464219253, 108, 2, [553210, 197739]
economy : 2199208742, 121, 2, [301659, 400400]
business : 1285015106, 128, 1, [369083, 804241]
economy : 5523367479, 142, 10, [505121, 218027]
economy : 6621785860, 95, 5, [400400, 218027]
first : 1863055398, 141, 2, [400400, 218027]
business : 3696123979, 152, 3, [767346, 505121]
first : 7451156781, 116, 0, [301659, 804241]
economy : 5337535788, 77, 1, [804241, 197739]
economy : 4571241428, 140, 2, [553210, 592579]
economy : 7823974860, 51, 1, [301659, 197739]
economy : 1058390061, 68, 3, [505121, 767346]
business : 7444179963, 71, 3, [301659, 592579]
economy : 1873256126, 193, 10, [218027, 301659]
economy : 6667866338, 73, 4, [218027, 804241]
economy : 6864401276, 126, 1, [301659, 592579]
economy : 6825884641, 121, 3, [592579, 553210]
economy : 7627447854, 114, 2, [767346, 197739]
economy : 3973139385, 145, 3, [369083, 767346]
economy : 9127218270, 74, 5, [400400, 767346]
economy : 4587228139, 102, 5, [804241, 553210]
economy : 6418210682, 197, 4, [505121, 804241]
business : 7863246386, 183, 1, [553210, 400400]
luxury : 7184335576, 151, 0, [505121, 197739]
economy : 3199546108, 139, 2, [369083, 218027]
economy : 6724905747, 99, 1, [197739, 804241]
economy : 4524363047, 150, 4, [197739, 369083]
economy : 9861070668, 171, 1, [197739, 369083]
economy : 9556387819, 189, 2, [218027, 369083]
economy : 8011884122, 98, 2, [505121, 767346]
economy : 6512333808, 194, 8, [592579, 505121]
economy : 6705214113, 88, 0, [369083, 197739]
economy : 1443484834, 85, 1, [400400, 767346]
economy : 6344156232, 104, 4, [804241, 218027]
economy : 9869216235, 84, 5, [804241, 400400]
economy : 1968214198, 152, 2, [369083, 218027]
economy : 3209285806, 146, 5, [369083, 804241]
economy : 7471822042, 104, 2, [592579, 505121]
economy : 1035176683, 187, 0, [592579, 400400]
economy : 6640165296, 156, 2, [553210, 767346]
business : 1362414068, 104, 2, [369083, 804241]
economy : 6631862537, 96, 2, [505121, 197739]
economy : 4750286502, 54, 0, [505121, 197739]
economy : 3164316141, 146, 0, [553210, 301659]
economy : 6390800388, 111, 1, [592579, 197739]
economy : 2111166381, 144, 3, [767346, 553210]
luxury : 2757051028, 78, 1, [553210, 301659]
economy : 8477309307, 82, 5, [804241, 505121]
first : 3683146175, 172, 3, [553210, 767346]
business : 4757052603, 152, 3, [553210, 505121]
economy : 8429602214, 169, 6, [505121, 197739]
economy : 9628335123, 198, 2, [400400, 197739]
economy : 3351824134, 89, 1, [369083, 592579]
economy : 2562098736, 64, 2, [197739, 301659]
business : 4597932903, 72, 2, [592579, 369083]
business : 1340241085, 102, 2, [218027, 301659]
economy : 5276138778, 52, 9, [553210, 400400]
economy : 4937015254, 192, 0, [197739, 592579]
economy : 6998538022, 57, 5, [553210, 767346]
economy : 4785738599, 60, 3, [804241, 369083]
economy : 5504091616, 115, 3, [301659, 197739]
economy : 6954427073, 179, 0, [197739, 301659]
business : 3156122009, 93, 1, [301659, 767346]
economy : 3211148246, 90, 1, [218027, 197739]
economy : 2136429367, 150, 2, [553210, 197739]
economy : 9493201396, 102, 2, [369083, 505121]
economy : 3146924387, 85, 1, [592579, 553210]
economy : 5569819763, 173, 2, [197739, 218027]
economy : 8635716244, 174, 0, [505121, 804241]
economy : 7494788917, 175, 2, [218027, 592579]
economy : 5485900067, 159, 1, [400400, 804241]
economy : 4056435869, 48, 1, [505121, 767346]
economy : 8223052057, 49, 2, [301659, 592579]
economy : 7545063447, 117, 2, [197739, 369083]
economy : 9203279418, 102, 2, [218027, 592579]
economy : 8454779537, 93, 1, [400400, 301659]
economy : 4349524504, 62, 1, [553210, 505121]
economy : 3643103793, 181, 2, [592579, 369083]
economy : 3513422592, 188, 2, [197739, 400400]
luxury : 1831482581, 134, 1, [218027, 592579]
business : 7886717042, 42, 1, [505121, 301659]
economy : 7490663183, 123, 1, [804241, 369083]
business : 1365241933, 165, 1, [505121, 369083]
economy : 3074277677, 138, 3, [592579, 505121]
economy : 9063543456, 159, 0, [804241, 505121]
economy : 3018718116, 167, 2, [553210, 767346]
business : 1370474857, 98, 1, [767346, 804241]
economy : 7506725234, 79, 1, [804241, 218027]
economy : 1733190464, 90, 0, [218027, 553210]
business : 7117806743, 71, 2, [553210, 592579]
