10 10 6003
9198 13927.5 18576 18864 5740
regional : 177517, -891, -672, 66.66, 116000, 2
regional : 458786, 790, -284, 76.01, 121800, 2
hub : 308131, -739, -1578, 53.79, 167400, 10
hub : 116939, 1368, -1642, 60.06, 254100, 10
major : 881517, -373, 1559, 66.0, 129250, 6
regional : 365277, 275, 1662, 92.95, 161600, 2
regional : 900937, 2514, -1759, 98.45, 129000, 3
major : 162101, -44, -1116, 68.31, 149500, 5
regional : 275120, 282, -18, 97.9, 119800, 3
regional : 624573, -575, 344, 105.16, 184200, 2
economy : 4846006871, 158, 1, [116939, 275120]
economy : 1709133702, 130, 3, [177517, 162101]
business : 4116946489, 74, 5, [116939, 881517]
economy : 9004491652, 88, 3, [308131, 458786]
economy : 6983299632, 76, 0, [881517, 458786]
economy : 9425308352, 160, 3, [900937, 308131]
business : 7221258011, 178, 1, [308131, 881517]
economy : 1843705751, 67, 3, [881517, 162101]
economy : 3815412957, 192, 0, [900937, 458786]
business : 3976854955, 90, 2, [458786, 275120]
economy : 1151167484, 117, 2, [177517, 458786]
economy : 1068568264, 169, 1, [275120, 365277]
economy : 4405746095, 149, 4, [900937, 177517]
economy : 8648176107, 86, 1, [365277, 624573]
first : 4862316297, 61, 2, [116939, 162101]
economy : 2152135124, 195, 10, [275120, 365277]
economy : 4239643620, 115, 1, [365277, 881517]
economy : 9485459065, 60, 0, [365277, 275120]
economy : 4001165255, 182, 2, [275120, 177517]
economy : 5980370835, 184, 6, [365277, 624573]
economy : 3073815179, 171, 1, [177517, 116939]
economy : 7974940944, 183, 0, [624573, 275120]
economy : 1813609794, 89, 1, [162101, 275120]
economy : 7555660197, 166, 1, [162101, 308131]
economy : 9434165439, 86, 3, [900937, 308131]
business : 1598358636, 54, 1, [365277, 881517]
economy : 1064613265, 168, 3, [881517, 624573]
economy : 9903428514, 155, 1, [162101, 881517]
economy : 2289909199, 44, 2, [308131, 900937]
economy : 1570005590, 94, 0, [881517, 162101]
economy : 1850022386, 156, 2, [365277, 900937]
economy : 2905269039, 161, 1, [365277, 177517]
first : 3973386493, 198, 0, [308131, 365277]
economy : 1058094943, 68, 1, [624573, 308131]
economy : 6728409359, 148, 1, [308131, 900937]
economy : 7350172312, 80, 6, [162101, 275120]
business : 1200485639, 64, 6, [458786, 275120]
economy : 2388141785, 171, 2, [881517, 624573]
economy : 7688067425, 78, 6, [624573, 881517]
business : 7423859854, 79, 3, [177517, 881517]
economy : 2481932305, 141, 9, [900937, 308131]
first : 3214845639, 200, 0, [162101, 900937]
business : 8869912909, 197, 3, [308131, 881517]
economy : 1271614295, 126, 0, [308131, 881517]
luxury : 4666063609, 102, 6, [624573, 900937]
