4 10 5685
9108 14175.0 14337 22068 6620
hub : 618406, -38, 1218, 39.16, 154800, 4
hub : 210568, -2782, -1875, 55.44, 277800, 4
major : 850839, -415, -382, 65.34, 131500, 1
major : 832744, -427, 932, 63.8, 204000, 1
hub : 486502, 248, -209, 65.56, 244800, 3
major : 110304, 1266, 1084, 69.41, 138750, 3
hub : 956576, 507, -838, 64.35, 283500, 4
hub : 668154, 1521, 2153, 59.95, 235200, 3
major : 551341, -600, 2971, 55.0, 233750, 3
regional : 525863, 662, 740, 94.93, 186800, 2
economy : 4823710264, 172, 2, [850839, 110304]
economy : 4585178342, 98, 1, [486502, 850839]
economy : 9967577520, 116, 1, [210568, 110304]
business : 3887240593, 186, 1, [525863, 551341]
economy : 3167935725, 130, 2, [486502, 832744]
luxury : 2384931665, 58, 8, [551341, 210568]
economy : 7315014453, 144, 0, [832744, 618406]
economy : 8599152690, 196, 1, [110304, 832744]
economy : 6623637981, 194, 3, [850839, 110304]
business : 6104277153, 95, 1, [832744, 486502]
business : 5511631165, 132, 6, [956576, 551341]
economy : 1990797648, 155, 1, [618406, 110304]
economy : 9322658959, 99, 1, [551341, 850839]
economy : 8417697821, 141, 5, [486502, 210568]
economy : 8453110371, 143, 3, [525863, 110304]
economy : 5367150247, 169, 2, [110304, 618406]
economy : 3793879242, 96, 1, [668154, 832744]
economy : 8694476666, 97, 1, [525863, 850839]
economy : 8611155422, 163, 2, [956576, 110304]
economy : 5153012413, 112, 2, [110304, 850839]
first : 3821588683, 191, 0, [956576, 618406]
economy : 3596447295, 49, 1, [850839, 525863]
economy : 8009029066, 105, 3, [110304, 618406]
business : 3571014243, 94, 4, [525863, 618406]
first : 6012979719, 163, 6, [110304, 551341]
economy : 6751752910, 75, 2, [486502, 525863]
economy : 8675059498, 188, 0, [210568, 551341]
economy : 8678946452, 108, 2, [210568, 832744]
business : 1399933796, 47, 2, [210568, 110304]
economy : 1370568927, 131, 0, [850839, 210568]
economy : 9164027644, 105, 6, [956576, 618406]
economy : 1106001749, 140, 2, [486502, 210568]
economy : 5591249525, 181, 1, [668154, 850839]
economy : 1953552837, 109, 2, [832744, 110304]
business : 4613612174, 159, 2, [956576, 618406]
business : 6006395908, 166, 2, [210568, 850839]
economy : 8830981331, 87, 1, [850839, 668154]
economy : 2073886481, 171, 2, [668154, 210568]
economy : 2388336316, 113, 4, [832744, 486502]
economy : 6258829174, 122, 3, [486502, 525863]
business : 4331779527, 117, 5, [110304, 618406]
economy : 6342589663, 147, 3, [110304, 956576]
economy : 7384725009, 121, 1, [668154, 850839]
first : 6767603882, 103, 1, [525863, 850839]
first : 1850990645, 129, 1, [850839, 551341]
economy : 8739674986, 40, 0, [551341, 110304]
economy : 3408585956, 54, 8, [110304, 956576]
economy : 8835557015, 74, 2, [110304, 850839]
economy : 3461663054, 118, 2, [525863, 110304]
economy : 3474482064, 78, 9, [956576, 668154]
economy : 8099677441, 117, 1, [668154, 832744]
economy : 6130655593, 48, 4, [832744, 551341]
economy : 4894158705, 48, 1, [525863, 551341]
business : 6674821503, 61, 2, [618406, 956576]
business : 6051298766, 118, 0, [210568, 110304]
economy : 4720782127, 79, 3, [525863, 486502]
economy : 8353850016, 87, 1, [210568, 486502]
economy : 2489727270, 164, 2, [525863, 110304]
economy : 4091868593, 69, 0, [832744, 956576]
economy : 5891608807, 56, 2, [525863, 210568]
business : 8928541312, 200, 1, [668154, 832744]
economy : 2139544061, 45, 7, [551341, 525863]
economy : 4718148556, 82, 2, [618406, 832744]
economy : 9146455970, 97, 1, [956576, 618406]
economy : 4041837187, 175, 6, [956576, 551341]
economy : 1267598434, 159, 0, [110304, 618406]
economy : 6209832857, 142, 1, [832744, 525863]
economy : 4027655706, 48, 6, [110304, 551341]
business : 2097137997, 101, 1, [850839, 956576]
economy : 9231525640, 109, 1, [210568, 832744]
economy : 9033070416, 122, 1, [668154, 956576]
business : 8780486982, 135, 7, [618406, 668154]
economy : 7727991436, 111, 1, [551341, 832744]
economy : 4026488818, 189, 2, [618406, 486502]
economy : 6171643001, 80, 2, [486502, 832744]
first : 5890239156, 173, 2, [525863, 110304]
business : 2574253771, 143, 8, [551341, 618406]
economy : 5628901753, 195, 0, [668154, 832744]
economy : 1638314182, 170, 4, [850839, 668154]
business : 6833547284, 102, 2, [956576, 486502]
economy : 8677319696, 132, 3, [110304, 525863]
economy : 7454016002, 158, 3, [668154, 486502]
business : 1857071297, 127, 1, [110304, 486502]
first : 4694514209, 65, 5, [850839, 551341]
economy : 7245917410, 156, 0, [832744, 956576]
first : 6059481448, 105, 0, [551341, 956576]
economy : 9464791281, 45, 3, [956576, 525863]
economy : 3268018936, 77, 0, [956576, 668154]
economy : 6675622778, 116, 1, [832744, 486502]
economy : 1320446100, 167, 5, [956576, 486502]
luxury : 8026728433, 58, 3, [618406, 668154]
economy : 7042462407, 84, 2, [525863, 850839]
economy : 7176966239, 149, 0, [486502, 832744]
business : 4612696962, 120, 2, [525863, 832744]
economy : 9500030848, 137, 1, [110304, 618406]
economy : 8551726981, 188, 2, [832744, 110304]
business : 2725876749, 127, 2, [668154, 486502]
economy : 4862841876, 198, 2, [525863, 486502]
economy : 6191890662, 178, 1, [832744, 618406]
business : 1952285330, 65, 0, [956576, 832744]
first : 3665080203, 172, 2, [210568, 832744]
business : 3133565738, 54, 0, [956576, 486502]
economy : 1866604171, 120, 7, [832744, 956576]
economy : 3158763995, 64, 1, [210568, 110304]
economy : 9767103954, 47, 1, [525863, 832744]
business : 4002573473, 79, 2, [618406, 850839]
economy : 3417567936, 73, 5, [110304, 668154]
first : 7572808754, 122, 2, [486502, 832744]
economy : 6961733014, 91, 2, [110304, 618406]
business : 9460661252, 110, 9, [551341, 668154]
economy : 4044621316, 104, 1, [956576, 850839]
economy : 3077529905, 86, 2, [618406, 956576]
economy : 6466047166, 167, 4, [551341, 525863]
business : 6213837958, 102, 1, [850839, 110304]
economy : 6456652426, 162, 2, [210568, 850839]
business : 4405249830, 59, 3, [110304, 618406]
economy : 6724810352, 177, 4, [551341, 525863]
business : 9586981637, 87, 0, [850839, 486502]
luxury : 7325832584, 73, 4, [551341, 210568]
first : 2439142476, 109, 0, [525863, 668154]
luxury : 9907112792, 169, 9, [832744, 525863]
first : 6664789072, 186, 0, [850839, 525863]
economy : 3082050962, 62, 1, [525863, 110304]
economy : 1424255690, 108, 4, [551341, 110304]
economy : 2770410384, 131, 6, [850839, 618406]
economy : 4228209053, 158, 2, [525863, 668154]
economy : 2237880916, 117, 5, [110304, 525863]
economy : 6036555204, 132, 3, [668154, 110304]
economy : 3477221515, 121, 0, [525863, 832744]
luxury : 9803084229, 134, 2, [850839, 956576]
economy : 1258709157, 130, 3, [210568, 525863]
economy : 2496534005, 158, 1, [832744, 668154]
first : 6882173363, 73, 1, [668154, 110304]
economy : 5979710185, 132, 2, [525863, 668154]
luxury : 1918678262, 63, 7, [525863, 551341]
business : 6798095427, 54, 1, [551341, 110304]
economy : 8663343966, 147, 1, [110304, 551341]
business : 1944234865, 124, 0, [832744, 618406]
economy : 4311109706, 68, 3, [850839, 551341]
business : 9439344928, 169, 2, [832744, 618406]
economy : 6079515060, 51, 1, [618406, 486502]
business : 3579604769, 97, 2, [551341, 525863]
economy : 1363990498, 178, 1, [956576, 210568]
economy : 6697920945, 130, 2, [551341, 618406]
economy : 6436403367, 171, 1, [956576, 525863]
business : 7971604749, 187, 5, [832744, 210568]
economy : 3054483672, 96, 1, [618406, 956576]
economy : 3909430641, 130, 5, [110304, 618406]
business : 1173321875, 66, 1, [110304, 956576]
business : 3880830956, 71, 0, [832744, 551341]
business : 1541200451, 148, 3, [618406, 551341]
economy : 8455514019, 51, 4, [110304, 832744]
business : 3894010375, 145, 0, [210568, 850839]
business : 7792815183, 108, 0, [551341, 956576]
economy : 9641485648, 75, 3, [832744, 668154]
economy : 8626146544, 54, 1, [525863, 551341]
business : 4273524878, 129, 2, [850839, 551341]
economy : 8853699061, 170, 1, [618406, 110304]
economy : 9019598485, 102, 1, [210568, 832744]
business : 6050302797, 165, 1, [525863, 668154]
economy : 3663842051, 92, 2, [210568, 832744]
economy : 2784176421, 135, 0, [525863, 110304]
economy : 7726451688, 92, 4, [956576, 850839]
