3 38144 5314
10710 6255 11160 95400 4368
hub : 752763, -1369952, -302349, 51.04, 236100, 2
hub : 686531, -1358307, -308120, 50.71, 189300, 5
hub : 693818, -1380401, -307997, 57.2, 299700, 2
hub : 548512, -1370511, -312754, 58.85, 262200, 3
hub : 272798, -1390576, -317024, 46.86, 244500, 5
hub : 438848, -1385370, -328139, 65.89, 156300, 5
hub : 381574, -1378854, -319278, 57.31, 176700, 2
hub : 215441, -1374080, -331367, 38.83, 298500, 4
hub : 320635, -1348882, -313655, 65.12, 288900, 2
hub : 700187, -1343158, -324827, 48.62, 242100, 3
hub : 695189, -1399273, -323826, 49.61, 202500, 3
hub : 381091, -1396921, -334072, 46.75, 242400, 2
hub : 652432, -1400537, -344271, 40.37, 189600, 2
hub : 511948, -1402975, -312935, 45.98, 267900, 2
hub : 840089, -1386713, -299701, 56.21, 172200, 4
hub : 597914, -1374792, -290405, 36.85, 166800, 4
hub : 956601, -1336008, -334760, 48.62, 218100, 5
hub : 402015, -1333853, -345951, 49.28, 203400, 2
hub : 191898, -1395463, -304964, 45.32, 251100, 4
hub : 500436, -1369566, -280839, 54.12, 237600, 4
hub : 695948, -1358257, -319597, 39.38, 214800, 4
hub : 734611, -1402884, -294055, 63.25, 205500, 2
hub : 334653, -1406976, -281459, 36.08, 231000, 5
hub : 984242, -1414040, -271076, 41.25, 195600, 4
hub : 266401, -1383719, -339363, 35.53, 168600, 5
hub : 351964, -1408800, -337874, 46.64, 170100, 4
hub : 582650, -1417355, -330810, 54.67, 152400, 4
hub : 439727, -1356082, -295987, 55.11, 237900, 5
hub : 182863, -1345343, -296462, 33.99, 201600, 3
hub : 376570, -1412013, -320723, 53.57, 150000, 5
hub : 215976, -1379591, -279670, 44.88, 237600, 4
hub : 723525, -1388968, -275328, 49.39, 294600, 3
hub : 874232, -1383860, -264167, 48.62, 253500, 5
hub : 624429, -1374239, -255931, 60.72, 196500, 4
hub : 238274, -1339130, -288296, 54.78, 283800, 5
hub : 599522, -1419858, -283180, 38.06, 276900, 2
hub : 526109, -1344503, -278461, 51.92, 252000, 5
hub : 974034, -1355289, -272507, 38.17, 176700, 4
hub : 212262, -1328484, -296322, 42.79, 264900, 5
hub : 725973, -1334921, -307862, 62.7, 251700, 3
hub : 556375, -1329566, -399368, 45.76, 170100, 2
hub : 637603, -1317921, -405140, 56.76, 228900, 5
hub : 828926, -1340014, -405016, 53.46, 158400, 4
hub : 135893, -1330125, -409773, 33.11, 206100, 3
hub : 484787, -1350190, -414044, 56.32, 270600, 5
hub : 219986, -1344984, -425159, 60.72, 229800, 5
hub : 679683, -1338467, -416298, 45.54, 205500, 2
hub : 822179, -1333693, -428386, 44.77, 247800, 4
hub : 804853, -1308496, -410674, 62.15, 150900, 3
hub : 937533, -1302772, -421847, 43.01, 258600, 4
hub : 430048, -1358887, -420846, 55.33, 155700, 2
hub : 571300, -1356534, -431092, 37.18, 217500, 4
hub : 677193, -1360150, -441291, 64.24, 161700, 5
hub : 411590, -1362589, -409954, 63.14, 176700, 5
hub : 838206, -1346326, -396721, 62.59, 210600, 5
hub : 365894, -1334406, -387424, 52.36, 285900, 4
hub : 443744, -1295622, -431780, 36.3, 246300, 4
hub : 348754, -1293467, -442970, 49.17, 291000, 3
hub : 175117, -1355077, -401983, 39.49, 203400, 2
hub : 101857, -1329180, -377859, 39.05, 176700, 3
hub : 610253, -1317870, -416617, 36.96, 211200, 4
hub : 458961, -1362497, -391075, 55.55, 295500, 3
hub : 169331, -1366590, -378479, 45.32, 209700, 2
hub : 786737, -1373653, -368096, 54.89, 232800, 3
hub : 597197, -1343333, -436383, 61.82, 203100, 4
hub : 625776, -1368414, -434894, 52.36, 283800, 5
hub : 558649, -1376968, -427830, 48.51, 298500, 5
hub : 226563, -1315695, -393006, 58.85, 272700, 5
hub : 304198, -1304957, -393482, 59.29, 198900, 5
hub : 523716, -1371626, -417742, 47.19, 160800, 3
hub : 485596, -1339205, -376689, 40.81, 242700, 2
hub : 339594, -1348581, -372348, 50.16, 193200, 4
hub : 832677, -1343473, -361186, 58.85, 195600, 3
hub : 679020, -1333853, -352951, 52.47, 154800, 5
hub : 777145, -1298744, -385316, 38.17, 274200, 3
hub : 718835, -1379472, -380199, 62.48, 245400, 5
hub : 408678, -1304117, -375481, 41.69, 291600, 4
hub : 401441, -1314902, -369526, 34.54, 287700, 2
hub : 997299, -1288097, -393342, 51.7, 281100, 4
hub : 265896, -1294535, -404882, 38.94, 244800, 4
hub : 716754, -1199242, -302349, 64.79, 272700, 3
hub : 212208, -1210887, -308120, 50.82, 150600, 2
hub : 494718, -1188794, -307997, 54.89, 290700, 3
hub : 553840, -1198683, -312754, 61.82, 282000, 4
hub : 800588, -1178618, -317024, 50.82, 280800, 2
hub : 258563, -1183825, -328139, 43.34, 184800, 5
hub : 922995, -1190341, -319278, 41.47, 263700, 3
hub : 184201, -1195115, -331367, 50.6, 294600, 3
hub : 377529, -1220312, -313655, 60.72, 214800, 4
hub : 281100, -1226036, -324827, 49.72, 240900, 5
hub : 385298, -1169921, -323826, 58.63, 221100, 3
hub : 329707, -1172274, -334072, 53.57, 256200, 5
hub : 293052, -1168658, -344271, 45.87, 174900, 4
hub : 756616, -1166219, -312935, 60.06, 254100, 5
hub : 856069, -1182482, -299701, 59.95, 179100, 4
hub : 493721, -1194403, -290405, 51.81, 204900, 3
hub : 316936, -1233186, -334760, 38.5, 258900, 4
hub : 841660, -1235342, -345951, 56.65, 165900, 4
hub : 680161, -1173731, -304964, 59.62, 185700, 5
hub : 816752, -1199628, -280839, 38.28, 227700, 3
hub : 452520, -1210938, -319597, 40.81, 202200, 2
hub : 877798, -1166311, -294055, 61.05, 151200, 2
hub : 289021, -1162218, -281459, 47.41, 189000, 4
hub : 206143, -1155155, -271076, 49.72, 230100, 2
hub : 656144, -1185476, -339363, 34.54, 268800, 2
hub : 881610, -1160394, -337874, 39.38, 226500, 3
hub : 885708, -1151840, -330810, 59.4, 174300, 4
hub : 686986, -1213113, -295987, 59.18, 156000, 5
hub : 979585, -1223851, -296462, 61.16, 167100, 5
hub : 308845, -1157182, -320723, 39.93, 248700, 2
hub : 790165, -1189604, -279670, 51.59, 250500, 5
hub : 693254, -1180227, -275328, 59.73, 260400, 2
hub : 783693, -1185335, -264167, 38.72, 216300, 5
hub : 105374, -1194955, -255931, 63.25, 225900, 4
hub : 871691, -1230065, -288296, 50.93, 168900, 4
hub : 129048, -1149337, -283180, 57.64, 162600, 4
hub : 149933, -1224691, -278461, 45.87, 248400, 4
hub : 567914, -1213906, -272507, 61.27, 207300, 4
hub : 892700, -1240711, -296322, 53.9, 207600, 3
hub : 826686, -1234274, -307862, 47.52, 296400, 4
hub : 132231, -1239629, -399368, 62.26, 210300, 3
hub : 217912, -1251274, -405140, 64.24, 225000, 3
hub : 368627, -1229181, -405016, 57.31, 165300, 5
hub : 246639, -1239070, -409773, 63.47, 291000, 2
hub : 398481, -1219005, -414044, 62.04, 275100, 2
hub : 177202, -1224211, -425159, 34.21, 152700, 2
hub : 976209, -1230727, -416298, 45.87, 180900, 5
hub : 252325, -1235501, -428386, 34.65, 209400, 2
hub : 882553, -1260699, -410674, 65.56, 159600, 3
hub : 302149, -1266423, -421847, 58.52, 172500, 4
hub : 301608, -1210308, -420846, 33.0, 182100, 5
hub : 432092, -1212660, -431092, 46.64, 164700, 4
hub : 916091, -1209045, -441291, 52.36, 222300, 5
hub : 159497, -1206606, -409954, 49.61, 180900, 3
hub : 150590, -1222868, -396721, 50.6, 277200, 2
hub : 342590, -1234789, -387424, 35.09, 170100, 5
hub : 254644, -1273573, -431780, 59.07, 281400, 4
hub : 949377, -1275728, -442970, 37.51, 274200, 3
hub : 893934, -1214118, -401983, 50.93, 189600, 5
hub : 411097, -1240015, -377859, 52.25, 228900, 5
hub : 882775, -1251325, -416617, 55.33, 211200, 3
hub : 247090, -1206697, -391075, 41.8, 190500, 4
hub : 274559, -1202605, -378479, 43.12, 157500, 3
hub : 757760, -1195541, -368096, 43.34, 295800, 4
hub : 250057, -1225862, -436383, 38.5, 211200, 3
hub : 681606, -1200781, -434894, 64.9, 287400, 2
hub : 796956, -1192226, -427830, 51.37, 273900, 3
hub : 987703, -1253499, -393006, 63.25, 282300, 4
hub : 163271, -1264238, -393482, 53.02, 162600, 5
hub : 903263, -1197568, -417742, 52.25, 215400, 4
hub : 708858, -1229990, -376689, 61.82, 163800, 4
hub : 396807, -1220613, -372348, 58.3, 198000, 2
hub : 953871, -1225721, -361186, 55.33, 155700, 3
hub : 619611, -1235342, -352951, 37.29, 189300, 5
hub : 968801, -1270451, -385316, 61.6, 255000, 2
hub : 711021, -1189723, -380199, 47.74, 202500, 4
hub : 999581, -1265078, -375481, 56.65, 178200, 4
hub : 258721, -1254292, -369526, 42.68, 230100, 4
hub : 959237, -1281097, -393342, 52.25, 210600, 2
hub : 579610, -1274660, -404882, 45.54, 224700, 2
hub : 415104, -1468464, -496388, 46.31, 294600, 2
hub : 450671, -1456819, -502159, 45.21, 212700, 3
hub : 857290, -1478912, -502036, 41.03, 249300, 3
hub : 180616, -1469023, -506793, 39.38, 180900, 3
hub : 705479, -1489088, -511063, 40.81, 263100, 4
hub : 994714, -1483881, -522178, 35.53, 237900, 2
hub : 955348, -1477365, -513318, 53.9, 293100, 3
hub : 752072, -1472591, -525406, 45.54, 163200, 5
hub : 445839, -1447394, -507694, 50.82, 270000, 5
hub : 812984, -1441670, -518866, 35.53, 277200, 3
hub : 353406, -1497785, -517865, 62.15, 230400, 2
hub : 600207, -1495432, -528112, 64.9, 290400, 5
hub : 305630, -1499048, -538311, 34.87, 263100, 2
hub : 481720, -1501487, -506974, 53.57, 228900, 5
hub : 394709, -1485224, -493740, 44.22, 265500, 5
hub : 983711, -1473303, -484444, 50.6, 224700, 2
hub : 746749, -1434520, -528799, 66.0, 186900, 3
hub : 570249, -1432364, -539990, 61.6, 191700, 3
hub : 766395, -1493975, -499003, 64.24, 224100, 4
hub : 275624, -1468078, -474878, 64.68, 286500, 5
hub : 614936, -1456768, -513636, 64.57, 257400, 5
hub : 312519, -1501395, -488094, 34.76, 236400, 2
hub : 277724, -1505488, -475499, 35.2, 247200, 3
hub : 963377, -1512551, -465115, 55.22, 206100, 5
hub : 999189, -1482230, -533402, 37.07, 267900, 2
hub : 149913, -1507312, -531913, 60.72, 285000, 3
hub : 389851, -1515866, -524850, 35.64, 239700, 2
hub : 703315, -1454593, -490026, 44.33, 203700, 4
hub : 229935, -1443855, -490501, 51.26, 238200, 4
hub : 493919, -1510524, -514762, 61.27, 203700, 4
hub : 409900, -1478102, -473709, 46.75, 201900, 5
hub : 585149, -1487479, -469367, 50.16, 246900, 4
hub : 724708, -1482371, -458206, 57.2, 282900, 4
hub : 610741, -1472751, -449970, 57.75, 151500, 3
hub : 476145, -1437642, -482335, 60.06, 200100, 5
hub : 448454, -1518369, -477219, 48.51, 152700, 3
hub : 768134, -1443015, -472500, 46.64, 206700, 3
hub : 827091, -1453800, -466546, 56.76, 192000, 3
hub : 905474, -1426995, -490362, 46.86, 170700, 5
hub : 213624, -1433433, -501902, 41.91, 160800, 5
hub : 780141, -1428077, -593407, 34.21, 180300, 3
hub : 759448, -1416432, -599179, 62.04, 158400, 4
hub : 582042, -1438525, -599055, 51.04, 228300, 4
hub : 485643, -1428636, -603812, 61.93, 246000, 2
hub : 750146, -1448701, -608083, 52.91, 176700, 2
hub : 459873, -1443495, -619198, 36.63, 168000, 3
hub : 278281, -1436979, -610337, 49.28, 174000, 3
hub : 790621, -1432205, -622426, 53.13, 234300, 3
hub : 351095, -1407007, -604714, 61.93, 235500, 4
hub : 950518, -1401283, -615886, 63.47, 201900, 2
hub : 429989, -1457398, -614885, 60.39, 193800, 3
hub : 732507, -1455046, -625131, 65.45, 207000, 2
hub : 207496, -1458661, -635330, 38.17, 185700, 5
hub : 800864, -1461100, -603994, 43.89, 231900, 3
hub : 424419, -1444838, -590760, 45.1, 237900, 3
hub : 905643, -1432917, -581463, 60.72, 206400, 2
hub : 418728, -1394133, -625819, 51.37, 236700, 3
hub : 328146, -1391978, -637009, 33.77, 258900, 3
hub : 293970, -1453588, -596022, 43.56, 206100, 5
hub : 529686, -1427691, -571898, 56.98, 196500, 4
hub : 453608, -1416381, -610656, 34.54, 254400, 2
hub : 240183, -1461009, -585114, 46.31, 188100, 2
hub : 617633, -1465101, -572518, 55.77, 158100, 5
hub : 900827, -1472165, -562135, 54.01, 260700, 5
hub : 756446, -1441844, -630422, 33.33, 248400, 4
hub : 456643, -1466925, -628933, 36.3, 162300, 2
hub : 608324, -1475480, -621869, 60.28, 179700, 4
hub : 213267, -1414207, -587045, 36.41, 167700, 4
hub : 564348, -1403468, -587521, 39.93, 289800, 5
hub : 148611, -1470138, -611782, 55.44, 164400, 3
hub : 681096, -1437716, -570728, 45.21, 213900, 4
hub : 793428, -1447093, -566387, 45.87, 150900, 5
hub : 744870, -1441985, -555225, 50.93, 264300, 5
hub : 197828, -1432364, -546990, 45.65, 155700, 5
hub : 744677, -1397255, -579355, 51.26, 161700, 5
hub : 189854, -1477983, -574239, 33.11, 206400, 2
hub : 960565, -1402628, -569520, 57.97, 235200, 5
hub : 425766, -1413414, -563566, 42.13, 228600, 5
hub : 760152, -1386609, -587381, 46.2, 165900, 2
hub : 791554, -1393046, -598921, 37.29, 261300, 4
hub : 186593, -1297754, -496388, 53.9, 245100, 2
hub : 329774, -1309399, -502159, 50.93, 210600, 3
hub : 980086, -1287305, -502036, 61.05, 198300, 2
hub : 248859, -1297195, -506793, 33.88, 197700, 3
hub : 429365, -1277130, -511063, 62.7, 195000, 3
hub : 278473, -1282336, -522178, 62.37, 212400, 4
hub : 502030, -1288852, -513318, 35.53, 152700, 5
hub : 526920, -1293626, -525406, 57.31, 188700, 4
hub : 134702, -1318824, -507694, 48.4, 250500, 5
hub : 335728, -1324548, -518866, 40.15, 204000, 4
hub : 409421, -1268433, -517865, 44.44, 246000, 3
hub : 418231, -1270785, -528112, 38.39, 150600, 4
hub : 828649, -1267169, -538311, 46.31, 155700, 2
hub : 478070, -1264731, -506974, 52.69, 296400, 4
hub : 591680, -1280993, -493740, 65.45, 228900, 5
hub : 463639, -1292914, -484444, 46.64, 231000, 4
hub : 614234, -1331698, -528799, 44.33, 186600, 5
hub : 388803, -1333853, -539990, 57.31, 279900, 2
hub : 855338, -1272243, -499003, 59.73, 299400, 5
hub : 149815, -1298140, -474878, 64.46, 183600, 3
hub : 866001, -1309449, -513636, 61.27, 258600, 2
hub : 753857, -1264822, -488094, 65.12, 191100, 2
hub : 100015, -1260730, -475499, 62.81, 154500, 4
hub : 443267, -1253666, -465115, 56.87, 269400, 3
hub : 510526, -1283987, -533402, 63.47, 274500, 2
hub : 712130, -1258906, -531913, 60.28, 150900, 5
hub : 661475, -1250351, -524850, 65.56, 182400, 3
hub : 148205, -1311624, -490026, 34.65, 164400, 3
hub : 832655, -1322363, -490501, 64.35, 248100, 2
hub : 594925, -1255693, -514762, 37.62, 237900, 2
hub : 232120, -1288115, -473709, 38.72, 166800, 2
hub : 247999, -1278738, -469367, 44.99, 283500, 4
hub : 203990, -1283846, -458206, 45.43, 193800, 4
hub : 234144, -1293467, -449970, 58.63, 177600, 4
hub : 790186, -1328576, -482335, 39.82, 211500, 2
hub : 855010, -1247848, -477219, 34.87, 192600, 2
hub : 982315, -1323203, -472500, 33.88, 237000, 2
hub : 954470, -1312417, -466546, 56.1, 264600, 4
hub : 645000, -1339222, -490362, 33.22, 203400, 3
hub : 477834, -1332785, -501902, 64.24, 246600, 2
hub : 892972, -1338140, -593407, 63.47, 205800, 4
hub : 389471, -1349785, -599179, 34.21, 260700, 4
hub : 559957, -1327692, -599055, 46.97, 171000, 4
hub : 372614, -1337581, -603812, 43.78, 270900, 5
hub : 920682, -1317516, -608083, 38.94, 193800, 3
hub : 203635, -1322722, -619198, 35.42, 184200, 5
hub : 762161, -1329239, -610337, 52.69, 252000, 2
hub : 470857, -1334013, -622426, 44.99, 198600, 4
hub : 716176, -1359210, -604714, 64.68, 208200, 5
hub : 546474, -1364934, -615886, 54.12, 286500, 5
hub : 863677, -1308819, -614885, 35.2, 237600, 5
hub : 724000, -1311172, -625131, 44.88, 297600, 2
hub : 459077, -1307556, -635330, 54.34, 223200, 2
hub : 588715, -1305117, -603994, 35.86, 215700, 3
hub : 650595, -1321380, -590760, 36.52, 190500, 3
hub : 219335, -1333300, -581463, 66.0, 236100, 4
hub : 274132, -1372084, -625819, 33.33, 296700, 2
hub : 397582, -1374239, -637009, 47.3, 242400, 4
hub : 325719, -1312629, -596022, 54.34, 210600, 5
hub : 868630, -1338526, -571898, 54.89, 214800, 5
hub : 699970, -1349836, -610656, 61.49, 183000, 4
hub : 189963, -1305209, -585114, 48.62, 161100, 2
hub : 175365, -1301116, -572518, 63.58, 169500, 2
hub : 819406, -1294053, -562135, 38.39, 156600, 2
hub : 402586, -1324374, -630422, 40.7, 216000, 3
hub : 719014, -1299292, -628933, 52.8, 193200, 2
hub : 817368, -1290738, -621869, 64.24, 199200, 5
hub : 191285, -1352011, -587045, 54.45, 176700, 2
hub : 893309, -1362749, -587521, 40.92, 220500, 3
hub : 580150, -1296080, -611782, 56.43, 271500, 5
hub : 388815, -1328501, -570728, 65.34, 267000, 3
hub : 119320, -1319125, -566387, 35.97, 279600, 4
hub : 649381, -1324233, -555225, 41.03, 189600, 4
hub : 760970, -1333853, -546990, 56.32, 247800, 3
hub : 217553, -1368962, -579355, 43.34, 204600, 4
hub : 655721, -1288234, -574239, 33.44, 215700, 2
hub : 896101, -1363589, -569520, 61.6, 179400, 5
hub : 716092, -1352804, -563566, 47.08, 260100, 2
hub : 750866, -1379609, -587381, 61.49, 201900, 4
hub : 381730, -1373171, -598921, 49.06, 160200, 4
hub : 698088, -993920, -458050, 64.57, 287400, 4
hub : 855368, -982275, -452278, 40.48, 166800, 2
hub : 271877, -1004368, -452402, 45.98, 240300, 2
hub : 190299, -994479, -447645, 55.11, 287100, 5
hub : 836607, -1014544, -443375, 53.46, 186900, 5
hub : 698175, -1009337, -432260, 63.14, 240600, 4
hub : 851019, -1002821, -441120, 54.23, 247200, 4
hub : 501182, -998047, -429032, 42.35, 285000, 3
hub : 168073, -972849, -446744, 53.35, 175800, 4
hub : 165042, -967126, -435572, 52.14, 203400, 2
hub : 222519, -1023241, -436573, 64.68, 171000, 5
hub : 113454, -1020888, -426326, 38.28, 208800, 2
hub : 309837, -1024504, -416127, 63.69, 163200, 3
hub : 937718, -1026943, -447464, 57.64, 189000, 4
hub : 736975, -1010680, -460698, 65.78, 165900, 4
hub : 254387, -998759, -469994, 55.55, 291300, 2
hub : 965947, -959976, -425639, 59.4, 257100, 2
hub : 298715, -957820, -414448, 41.58, 182400, 4
hub : 803583, -1019431, -455435, 45.43, 151200, 2
hub : 928957, -993534, -479560, 51.48, 174300, 2
hub : 894942, -982224, -440802, 44.88, 271200, 4
hub : 962119, -1026851, -466344, 65.78, 221400, 3
