10 10 1856
10206 13815.0 15984 24120 6830
major : 554442, 538, 634, 75.9, 222250, 4
hub : 977397, 107, 726, 42.9, 186300, 6
hub : 143728, 960, 1309, 64.46, 164400, 6
regional : 754858, 91, -242, 77.77, 179800, 4
regional : 260764, -534, -688, 104.5, 159400, 3
regional : 624967, -507, -2911, 67.76, 113200, 2
hub : 272725, -2797, -1449, 58.52, 275100, 9
major : 574114, -1954, 2765, 77.0, 132000, 5
hub : 878674, 167, 1211, 47.85, 204900, 5
major : 525300, -1219, -919, 62.37, 180750, 5
economy : 9744088438, 109, 8, [272725, 143728]
economy : 5937136807, 182, 3, [525300, 878674]
business : 2481689984, 84, 1, [977397, 754858]
business : 7704601141, 63, 4, [272725, 143728]
economy : 4466334273, 109, 7, [143728, 260764]
economy : 3913951350, 147, 3, [272725, 624967]
economy : 7051658688, 196, 2, [554442, 624967]
business : 4992073293, 62, 1, [525300, 554442]
economy : 5619646556, 94, 1, [554442, 977397]
first : 9749272782, 117, 1, [624967, 754858]
business : 1938546656, 105, 0, [754858, 624967]
economy : 5716837653, 55, 1, [554442, 624967]
economy : 2057846840, 89, 5, [754858, 260764]
business : 4018324666, 155, 2, [624967, 143728]
economy : 5627003583, 128, 2, [143728, 554442]
economy : 3467901201, 80, 0, [143728, 878674]
economy : 2601281099, 171, 1, [143728, 260764]
economy : 5456046303, 73, 0, [977397, 525300]
first : 5581826383, 51, 1, [143728, 977397]
economy : 5937595900, 73, 1, [260764, 624967]
business : 8891581515, 180, 0, [260764, 977397]
business : 4278578711, 112, 3, [574114, 624967]
economy : 9956796157, 68, 3, [554442, 143728]
economy : 6876341319, 166, 0, [554442, 525300]
economy : 2285246326, 195, 8, [624967, 143728]
economy : 3594732170, 86, 7, [574114, 977397]
economy : 5935075140, 158, 8, [754858, 977397]
first : 7496661282, 73, 2, [143728, 525300]
luxury : 4527957881, 188, 0, [260764, 525300]
economy : 7316907266, 134, 2, [260764, 574114]
