3 1580 419
10080 4680 9558 98280 5584
hub : 727210, 12736, 3103, 41.14, 281700, 3
hub : 622700, 24339, 9779, 53.57, 223200, 4
hub : 915207, 29443, -3145, 51.48, 167700, 5
hub : 449972, 40675, -408, 49.72, 212100, 5
hub : 274860, 41636, -10720, 52.03, 164400, 4
hub : 730462, 33148, -17359, 60.5, 296100, 4
hub : 524829, 22291, -25851, 33.0, 176700, 4
hub : 682727, 10338, -28651, 34.32, 257100, 3
hub : 254852, 7909, -18484, 48.29, 152100, 3
hub : 301326, 18892, -12165, 45.76, 228900, 5
hub : 957360, 6484, -7828, 43.01, 206400, 4
hub : 304553, -3097, 1461, 57.31, 246600, 4
hub : 720453, -11307, -4961, 62.15, 279600, 3
hub : 459370, -5148, -15555, 61.49, 169200, 5
hub : 213080, -7315, -26807, 37.62, 291900, 5
hub : 407479, -18349, -26220, 40.48, 250200, 5
hub : 754313, -24781, -14928, 60.72, 236100, 2
hub : 568334, -35729, -14346, 47.63, 294000, 4
hub : 586628, -44156, -20937, 34.65, 160800, 4
hub : 174685, -46512, -33171, 41.25, 299400, 5
hub : 169766, -34102, -39599, 38.17, 220800, 3
hub : 932197, -26729, -49111, 59.84, 242100, 5
hub : 882454, -25770, -59407, 63.03, 272700, 5
hub : 824676, -38526, -62395, 61.16, 226500, 4
hub : 508404, -35945, -73638, 39.05, 152100, 2
hub : 894672, -49614, -74730, 51.92, 249000, 4
hub : 786063, -50322, -87037, 53.9, 188400, 4
hub : 190018, -59697, -82076, 50.38, 276300, 5
hub : 470371, -70010, -76619, 48.07, 219600, 5
hub : 249494, -83122, -77666, 59.73, 220500, 2
hub : 463659, -93006, -75626, 50.93, 195600, 5
hub : 353855, -95628, -88057, 62.04, 285000, 3
hub : 495379, -82670, -92715, 44.55, 281400, 2
hub : 308801, -91614, -97757, 36.85, 231600, 3
hub : 597800, -100833, -102953, 42.79, 281700, 2
hub : 545248, -106403, -113367, 36.85, 156600, 5
hub : 364408, -101392, -122349, 33.0, 171600, 5
