3 9533 5725
12096 4815 10116 116640 4416
hub : 986058, -691615, -662741, 62.81, 161700, 4
hub : 461552, -702307, -656335, 61.16, 290400, 4
hub : 631755, -703829, -670043, 57.86, 176700, 5
hub : 335283, -682426, -653511, 59.95, 287400, 5
hub : 764114, -669355, -650571, 41.47, 291300, 5
hub : 485835, -703775, -682250, 58.96, 156600, 5
hub : 465830, -717622, -680277, 61.05, 240000, 3
hub : 418814, -686109, -675357, 48.29, 189300, 4
hub : 938686, -716225, -692850, 40.37, 266100, 3
hub : 341778, -728969, -694323, 44.66, 187500, 2
hub : 744662, -722458, -669460, 41.36, 296400, 5
hub : 545506, -676865, -662699, 60.72, 270900, 2
hub : 702777, -720549, -659057, 52.58, 233100, 3
hub : 534305, -701758, -695172, 41.8, 197400, 3
hub : 126422, -710656, -703066, 55.44, 152400, 4
hub : 621312, -678771, -642262, 41.58, 156900, 5
hub : 589777, -710451, -662239, 62.04, 223800, 2
hub : 156994, -714120, -648977, 59.95, 212100, 4
hub : 653449, -726222, -650593, 65.23, 265500, 5
hub : 973978, -737379, -643219, 40.92, 204300, 4
hub : 369503, -731135, -633681, 55.88, 151200, 3
hub : 846203, -721128, -711256, 47.41, 297600, 3
hub : 373657, -726675, -684566, 61.93, 283800, 4
hub : 740893, -734406, -677948, 44.77, 272400, 4
hub : 498071, -744083, -686532, 39.05, 164700, 2
hub : 573926, -757473, -686651, 35.86, 180600, 4
hub : 987552, -693144, -683288, 54.56, 296700, 5
hub : 874633, -684439, -690096, 59.73, 236100, 2
hub : 466823, -679606, -699529, 60.94, 167100, 3
hub : 226959, -746303, -673091, 39.82, 224700, 5
hub : 684714, -690234, -699782, 58.96, 189600, 4
hub : 936316, -696498, -645238, 65.89, 182100, 2
hub : 532654, -702673, -634396, 45.32, 229500, 3
hub : 117423, -713392, -633826, 61.05, 234000, 2
hub : 353961, -722597, -641025, 61.71, 291300, 4
hub : 386824, -721921, -627151, 41.25, 223200, 3
hub : 507414, -690840, -635304, 60.06, 191100, 2
hub : 255675, -661230, -657525, 42.02, 200400, 3
hub : 910718, -698665, -708362, 51.15, 206100, 2
hub : 850638, -730618, -660667, 52.69, 240600, 2
hub : 737338, -588372, -633616, 64.57, 206700, 2
hub : 202432, -599063, -627209, 59.29, 213600, 2
