9 10 2878
12600 15480.0 17199 19476 6480
hub : 827302, -892, 2747, 52.47, 227400, 2
regional : 449757, 53, -2389, 101.97, 123400, 1
regional : 823586, 2256, -657, 80.3, 116800, 2
major : 706753, -2053, -1822, 51.48, 220250, 3
regional : 911630, 138, 837, 95.92, 152400, 1
regional : 801499, 2919, -1856, 76.34, 174400, 2
major : 808989, 198, -591, 59.73, 246250, 2
regional : 980097, -1339, -2400, 84.48, 167000, 2
major : 319261, 548, 1047, 73.15, 220250, 2
major : 553528, -320, 184, 62.7, 140000, 2
economy : 7179402654, 197, 3, [553528, 808989]
first : 1728776284, 152, 2, [801499, 823586]
economy : 1957399063, 172, 3, [449757, 980097]
economy : 6563769090, 194, 2, [980097, 827302]
economy : 1825385099, 81, 0, [823586, 911630]
first : 5406116568, 113, 3, [706753, 553528]
economy : 7021246002, 141, 1, [319261, 553528]
business : 9023133857, 173, 2, [827302, 449757]
economy : 4507086831, 127, 1, [553528, 808989]
economy : 3602080020, 188, 0, [980097, 319261]
economy : 9133189554, 48, 2, [823586, 706753]
economy : 9692226509, 150, 10, [706753, 553528]
business : 4163682551, 178, 1, [980097, 827302]
economy : 2091023076, 97, 7, [808989, 823586]
economy : 7459813447, 169, 2, [823586, 449757]
economy : 4371047542, 71, 7, [706753, 911630]
luxury : 3521315789, 174, 1, [911630, 808989]
business : 9333665821, 96, 4, [911630, 706753]
economy : 9532215314, 71, 1, [801499, 823586]
luxury : 9612555810, 194, 1, [911630, 706753]
economy : 9897816373, 198, 6, [980097, 808989]
economy : 5872844984, 178, 2, [706753, 449757]
economy : 5268795281, 83, 2, [319261, 801499]
business : 2348801996, 146, 0, [553528, 801499]
economy : 8468480818, 142, 1, [553528, 911630]
business : 2999042618, 43, 2, [823586, 911630]
economy : 9081758262, 165, 0, [553528, 319261]
economy : 2798554182, 132, 2, [553528, 449757]
business : 8078243973, 42, 4, [823586, 706753]
first : 9974918781, 168, 0, [823586, 449757]
economy : 4249511158, 88, 1, [911630, 980097]
business : 5332676657, 119, 2, [823586, 980097]
first : 1866657678, 195, 1, [827302, 808989]
economy : 3505968318, 68, 4, [827302, 801499]
economy : 3207410829, 140, 1, [449757, 553528]
economy : 4944209966, 169, 2, [808989, 553528]
