5 10 1556
12168 11452.5 16011 18216 5650
major : 691508, -2124, 1404, 76.34, 232250, 1
regional : 596864, 1446, 1260, 85.14, 197200, 1
regional : 543349, 177, 111, 86.46, 123200, 2
major : 376081, 1157, 1767, 68.42, 243000, 2
regional : 494695, 3335, 59, 92.95, 103000, 1
regional : 485915, -1196, -3028, 87.67, 178600, 1
major : 836887, -470, 50, 70.73, 225250, 2
regional : 641229, 1003, 391, 92.95, 124800, 1
regional : 994687, 156, 942, 100.65, 182600, 1
regional : 558782, 1119, 2908, 77.55, 178800, 1
economy : 2643034664, 136, 1, [494695, 836887]
economy : 1514785190, 173, 2, [494695, 691508]
business : 2187710215, 45, 0, [543349, 376081]
business : 9341084852, 153, 1, [485915, 691508]
economy : 4344924167, 65, 3, [543349, 494695]
economy : 8414637033, 81, 1, [994687, 596864]
economy : 8640231574, 65, 1, [558782, 494695]
economy : 2051979650, 61, 3, [994687, 376081]
economy : 1235647457, 103, 1, [376081, 836887]
first : 7404824009, 75, 1, [543349, 691508]
economy : 8515957442, 53, 2, [836887, 641229]
economy : 6352450626, 131, 4, [641229, 558782]
economy : 3496733580, 124, 4, [596864, 494695]
first : 1498726404, 143, 10, [691508, 994687]
economy : 9492348910, 95, 4, [596864, 691508]
economy : 8851024164, 186, 1, [596864, 494695]
economy : 7295272898, 81, 2, [836887, 376081]
economy : 7432383153, 122, 2, [376081, 994687]
business : 6730944378, 127, 1, [994687, 641229]
economy : 4810193611, 175, 1, [494695, 641229]
first : 5383089363, 56, 1, [994687, 494695]
economy : 8214013042, 63, 5, [376081, 558782]
economy : 5085394633, 79, 3, [494695, 558782]
first : 1411476717, 50, 0, [558782, 494695]
economy : 8494104431, 158, 2, [836887, 994687]
economy : 6250947839, 169, 0, [641229, 596864]
first : 8021547564, 88, 0, [494695, 836887]
first : 3108831709, 198, 2, [994687, 596864]
economy : 8002081005, 87, 1, [543349, 494695]
economy : 3678330362, 184, 0, [558782, 485915]
economy : 9674979251, 172, 4, [836887, 376081]
first : 8470435517, 187, 3, [543349, 494695]
business : 5601994578, 92, 1, [376081, 543349]
business : 1136443475, 164, 3, [376081, 485915]
business : 4270540233, 195, 0, [376081, 641229]
economy : 1466632919, 161, 0, [494695, 596864]
economy : 2049034038, 129, 4, [558782, 994687]
economy : 4159608982, 68, 2, [543349, 485915]
business : 5329012573, 161, 1, [994687, 596864]
economy : 9359328993, 88, 1, [994687, 485915]
economy : 6611412804, 47, 4, [376081, 994687]
economy : 8844267796, 68, 2, [376081, 641229]
economy : 8630558987, 102, 1, [994687, 596864]
business : 5000468559, 103, 2, [494695, 596864]
economy : 1018113770, 94, 1, [376081, 691508]
economy : 1128736361, 89, 2, [543349, 558782]
economy : 9527431434, 57, 1, [994687, 558782]
business : 6234009155, 104, 0, [691508, 994687]
economy : 9323916203, 191, 8, [494695, 641229]
economy : 2092148599, 192, 1, [376081, 543349]
economy : 3816773544, 84, 0, [836887, 543349]
economy : 7639320663, 65, 2, [641229, 994687]
economy : 7465599832, 195, 2, [691508, 994687]
economy : 4760538274, 44, 4, [691508, 994687]
economy : 2045745018, 185, 3, [596864, 376081]
economy : 3488707282, 153, 1, [485915, 494695]
economy : 6066771533, 109, 2, [494695, 641229]
business : 4461054219, 51, 3, [994687, 836887]
economy : 6022742955, 114, 0, [376081, 558782]
first : 2174570147, 77, 5, [691508, 485915]
economy : 6381259414, 116, 0, [543349, 691508]
economy : 3352830004, 139, 4, [596864, 641229]
economy : 9273249211, 141, 2, [596864, 558782]
economy : 2546414774, 193, 2, [558782, 494695]
business : 5119862118, 95, 1, [494695, 994687]
economy : 7947590446, 106, 2, [543349, 641229]
economy : 2186267978, 161, 10, [836887, 994687]
economy : 5044224777, 119, 1, [494695, 994687]
economy : 9587969704, 69, 0, [485915, 376081]
economy : 9431860893, 86, 6, [596864, 994687]
business : 3047769725, 192, 1, [994687, 836887]
economy : 7152758038, 132, 0, [543349, 836887]
economy : 6606965080, 82, 6, [376081, 558782]
first : 4351955915, 58, 0, [376081, 543349]
economy : 9172528858, 143, 1, [376081, 543349]
