1 59572 4228
12402 6075 10332 100980 5264
hub : 490776, 324392, 1627640, 41.91, 262200, 5
hub : 339446, 316936, 1619742, 44.99, 205800, 2
hub : 321294, 311901, 1608205, 63.14, 279600, 4
hub : 835831, 335791, 1635469, 48.18, 276900, 4
hub : 132658, 312667, 1630060, 63.14, 280800, 4
hub : 745615, 305238, 1619949, 63.91, 295500, 4
hub : 850745, 325575, 1608993, 42.46, 300000, 2
hub : 639289, 319281, 1639639, 61.49, 152700, 4
hub : 661370, 309031, 1648895, 36.19, 243900, 4
hub : 912096, 323628, 1597816, 33.88, 203400, 2
hub : 468961, 324758, 1587644, 35.53, 298800, 4
hub : 589685, 335589, 1604780, 42.9, 164400, 5
hub : 594949, 349138, 1605260, 43.34, 277500, 4
hub : 802435, 341014, 1595152, 42.02, 197400, 5
hub : 244572, 341426, 1584829, 46.64, 206100, 5
hub : 841057, 330869, 1619619, 38.61, 194400, 5
hub : 233121, 321515, 1650708, 46.09, 257700, 5
hub : 970440, 303108, 1637334, 61.6, 278400, 2
hub : 731738, 346354, 1616062, 41.36, 222300, 3
hub : 545976, 358647, 1613863, 42.02, 201900, 5
hub : 314078, 369844, 1612770, 58.96, 261000, 3
hub : 997059, 362405, 1623299, 41.8, 186600, 5
hub : 508287, 344002, 1627719, 40.92, 265500, 2
hub : 574110, 346979, 1640183, 50.71, 193200, 5
hub : 969203, 357080, 1643026, 46.75, 249900, 4
hub : 791216, 312842, 1598104, 39.38, 234600, 4
hub : 699547, 336178, 1647971, 46.2, 274800, 4
hub : 824725, 355599, 1655355, 60.28, 262800, 4
hub : 555197, 353579, 1632542, 56.54, 237300, 5
hub : 487624, 299133, 1606958, 53.24, 209100, 2
hub : 149191, 289110, 1599119, 47.63, 190200, 4
hub : 470726, 280404, 1607559, 50.6, 213000, 5
hub : 851869, 351231, 1588268, 54.45, 199200, 3
hub : 741669, 294730, 1627441, 65.89, 266400, 4
hub : 314029, 284642, 1619551, 39.27, 175500, 5
hub : 969753, 302876, 1595776, 33.55, 173400, 3
hub : 835503, 310670, 1584533, 39.71, 203100, 3
hub : 935060, 270852, 1604124, 50.16, 233100, 2
hub : 204389, 294419, 1617007, 50.38, 223500, 2
hub : 344018, 307565, 1661109, 65.23, 210600, 2
hub : 142335, 358357, 1600731, 62.37, 266100, 3
hub : 620043, 279235, 1597031, 49.28, 156300, 2
hub : 652945, 308563, 1572444, 39.93, 236700, 4
hub : 131816, 347080, 1573293, 64.68, 279000, 2
hub : 913268, 343555, 1560098, 50.71, 225000, 5
hub : 781956, 346690, 1550150, 41.69, 203400, 2
hub : 818109, 346990, 1536581, 40.92, 163800, 2
hub : 285843, 373454, 1623202, 47.52, 153600, 2
hub : 561942, 298357, 1649463, 65.01, 242400, 3
hub : 497281, 322375, 1576350, 50.93, 183900, 2
hub : 642259, 357413, 1548718, 52.14, 235500, 3
hub : 166174, 333770, 1577210, 36.85, 224100, 4
hub : 708662, 325230, 1562820, 35.75, 225900, 4
hub : 270213, 332198, 1555440, 42.35, 210300, 4
hub : 480787, 330801, 1659095, 57.31, 238800, 4
hub : 699179, 360908, 1583993, 44.22, 246600, 3
hub : 666150, 379642, 1634528, 63.14, 230100, 3
hub : 664317, 389700, 1638245, 36.08, 215100, 2
hub : 381941, 385899, 1648671, 41.47, 236700, 3
hub : 297967, 286339, 1634124, 60.39, 216900, 3
hub : 238472, 293414, 1659326, 58.52, 216900, 4
hub : 471512, 283931, 1656105, 36.52, 271800, 4
hub : 726579, 273943, 1646592, 59.4, 202500, 5
hub : 522192, 276141, 1635183, 34.76, 176100, 2
hub : 920392, 264385, 1632864, 59.07, 280500, 4
hub : 546295, 319664, 1664113, 45.98, 261000, 3
hub : 491281, 313537, 1673655, 42.24, 224700, 2
hub : 104384, 323756, 1675112, 65.78, 259500, 3
hub : 473248, 297898, 1672341, 58.41, 272400, 4
