12 1502 4542
11214 4788 11286 108360 4632
hub : 773540, -147236, 199166, 57.75, 179100, 2
hub : 734333, -140221, 210529, 37.4, 298500, 4
hub : 835504, -138785, 222491, 60.28, 245400, 4
hub : 164941, -141888, 186914, 62.04, 231000, 3
hub : 206670, -130344, 215644, 44.77, 277500, 4
hub : 778840, -127027, 228516, 43.01, 206100, 2
hub : 352185, -133702, 178835, 51.26, 264900, 3
hub : 997077, -140989, 169080, 46.97, 221400, 5
hub : 339859, -152581, 208176, 56.32, 262500, 4
hub : 676306, -128005, 204741, 46.31, 246300, 5
hub : 946649, -116827, 213227, 33.33, 229500, 2
hub : 466425, -108432, 202783, 62.37, 194700, 4
hub : 307265, -152346, 188028, 35.2, 258000, 4
hub : 545703, -127999, 166993, 35.53, 151800, 3
hub : 668489, -110320, 224196, 41.69, 252600, 4
hub : 164681, -135810, 197349, 64.79, 216900, 2
hub : 940985, -164397, 188883, 54.56, 223800, 5
hub : 554953, -97048, 202279, 39.6, 278400, 5
hub : 656298, -92900, 214315, 40.15, 175200, 2
hub : 746391, -126522, 187299, 37.62, 150300, 4
hub : 422878, -115157, 180073, 57.75, 201600, 5
hub : 337939, -150522, 218732, 36.85, 181500, 4
hub : 378539, -93066, 226782, 36.41, 254700, 4
hub : 636111, -150282, 230385, 46.09, 172200, 4
hub : 435316, -154785, 242089, 49.5, 220200, 2
hub : 137786, -163636, 250670, 53.46, 293400, 3
hub : 717365, -172109, 258884, 39.82, 183000, 3
hub : 637500, -137021, 234488, 59.4, 232500, 4
hub : 740709, -181237, 265393, 55.44, 152700, 4
hub : 447660, -163881, 233425, 46.2, 209400, 5
hub : 859728, -158682, 199571, 64.02, 206100, 5
hub : 858336, -169347, 204976, 35.86, 245700, 2
hub : 958947, -147709, 176900, 33.22, 295500, 5
hub : 823774, -160052, 223548, 54.67, 275700, 5
hub : 255087, -158699, 177530, 54.67, 230700, 5
hub : 880812, -118599, 239195, 45.32, 155700, 4
hub : 329730, -106013, 237966, 51.92, 279000, 3
hub : 394005, -143120, 156852, 48.18, 242700, 2
hub : 899870, -132373, 153413, 65.12, 288000, 5
hub : 769462, -134172, 143089, 48.07, 228000, 2
hub : 595566, -176698, 195116, 38.94, 295500, 4
hub : 569771, -190510, 195605, 37.51, 283200, 2
hub : 715710, -190082, 209429, 52.25, 225300, 5
hub : 255113, -105068, 185186, 44.55, 217800, 5
hub : 648681, -94003, 185578, 60.06, 186300, 5
hub : 339724, -120258, 160126, 40.59, 182400, 3
hub : 754140, -152275, 165022, 48.07, 240000, 5
hub : 918300, -163158, 165988, 52.58, 222300, 3
hub : 939106, -128624, 241823, 43.34, 234300, 5
hub : 449858, -161138, 155634, 59.95, 221400, 4
hub : 454494, -149321, 81753, 59.95, 231900, 4
hub : 428547, -137959, 88767, 64.79, 235500, 2
hub : 830618, -125997, 90203, 47.96, 220200, 2
hub : 991823, -161574, 87100, 52.47, 152400, 5
hub : 919880, -132843, 98645, 33.66, 204900, 4
hub : 573824, -119972, 101962, 65.34, 263100, 4
hub : 276029, -169652, 95287, 54.89, 159900, 5
hub : 450626, -179408, 87999, 37.07, 196200, 5
hub : 429791, -140311, 76408, 58.74, 249000, 4
hub : 557190, -143747, 100984, 34.32, 227400, 4
hub : 594588, -135260, 112162, 43.12, 280800, 4
hub : 617117, -145705, 120556, 38.28, 275400, 2
hub : 809202, -160459, 76643, 41.69, 195600, 2
hub : 195027, -181494, 100990, 64.57, 232500, 4
hub : 269049, -124291, 118668, 55.11, 277200, 3
hub : 112357, -151138, 93179, 40.37, 198000, 3
hub : 211771, -159605, 64592, 41.03, 199200, 5
hub : 438712, -146209, 131941, 35.53, 270900, 4
hub : 621603, -134172, 136089, 59.51, 290100, 4
hub : 445375, -161188, 102467, 53.13, 167700, 3
hub : 892415, -168414, 113831, 46.64, 222600, 2
hub : 434471, -129755, 78467, 57.42, 191100, 5
hub : 398329, -121705, 135923, 54.78, 172800, 2
hub : 578872, -118102, 78707, 62.81, 267300, 5
hub : 123723, -106399, 74204, 46.86, 170700, 5
hub : 173028, -97818, 65353, 43.01, 243600, 5
hub : 415554, -89603, 56880, 33.99, 162000, 3
hub : 948911, -114000, 91967, 49.83, 297000, 4
hub : 804753, -83094, 47752, 50.16, 254100, 5
hub : 815098, -115063, 65108, 57.75, 299700, 3
hub : 614858, -148916, 70307, 35.42, 294300, 3
hub : 997616, -143512, 59642, 35.64, 216900, 2
hub : 711489, -171587, 81280, 44.44, 292800, 3
hub : 754271, -124940, 68937, 43.89, 226200, 2
hub : 598668, -170957, 70289, 63.91, 233100, 3
hub : 551573, -109293, 110390, 49.72, 154800, 2
hub : 820588, -110522, 122976, 34.54, 296400, 2
hub : 424169, -191635, 85868, 41.25, 197400, 3
hub : 723270, -195075, 96616, 57.97, 162000, 5
hub : 407091, -205399, 94816, 49.06, 264900, 5
hub : 155202, -153372, 52291, 62.37, 240900, 5
hub : 955012, -152883, 38479, 62.15, 283200, 3
hub : 100167, -139059, 38907, 63.36, 294600, 4
hub : 931979, -163302, 123921, 38.5, 187500, 4
hub : 836363, -162910, 134986, 65.89, 179100, 5
hub : 840310, -188361, 108731, 54.67, 228300, 2
hub : 999905, -183465, 76714, 34.87, 174600, 2
hub : 558592, -182500, 65830, 44.66, 297300, 3
hub : 949936, -106664, 100364, 60.83, 158700, 3
hub : 812953, -192854, 67851, 44.22, 169800, 5
hub : 269398, 39131, 92429, 58.41, 273000, 5
hub : 116597, 42761, 101865, 53.35, 240300, 4
hub : 721627, 53299, 107442, 63.03, 151500, 5
hub : 509412, 41730, 111951, 55.88, 212700, 4
hub : 557544, 44584, 123898, 63.03, 232500, 2
hub : 768381, 55180, 120089, 57.97, 226800, 4
hub : 236941, 34794, 121066, 55.0, 200400, 4
hub : 276327, 30316, 133350, 38.39, 235200, 5
hub : 987309, 20734, 140708, 35.09, 164700, 5
hub : 273414, 11760, 131852, 63.91, 260700, 5
hub : 836774, 49374, 137038, 49.72, 193800, 4
hub : 701374, 37868, 143127, 44.88, 205800, 2
hub : 696084, 32608, 104816, 51.7, 242400, 4
hub : 265749, 21273, 100282, 63.03, 179700, 2
hub : 464414, 34925, 155442, 39.27, 154500, 5
hub : 624767, 50983, 93753, 41.25, 179700, 5
hub : 555261, 65782, 110955, 48.51, 214200, 2
hub : 470980, 76304, 105970, 62.59, 297900, 5
hub : 463757, 84896, 115569, 33.11, 250800, 3
hub : 764979, 60561, 96966, 55.22, 166800, 4
hub : 274369, 69061, 123680, 57.86, 209400, 4
hub : 694194, 67099, 134377, 33.99, 227400, 4
hub : 468603, 57175, 130000, 52.58, 187200, 5
hub : 344125, 24006, 114471, 51.26, 293100, 2
hub : 678701, 13982, 116172, 38.83, 252600, 5
hub : 757149, 59995, 141806, 48.62, 193800, 3
hub : 654129, 67427, 151223, 57.53, 261000, 4
hub : 774788, 21737, 124246, 61.16, 298800, 3
hub : 579445, 19835, 151375, 37.18, 195000, 5
hub : 677178, 8477, 157386, 59.4, 291900, 3
hub : 349606, 62645, 163653, 64.68, 205200, 2
hub : 836880, 9282, 145646, 48.95, 237000, 2
hub : 462820, 82187, 126148, 58.19, 171600, 3
hub : 916397, 83236, 136418, 48.07, 229200, 5
hub : 842815, 70755, 94647, 61.38, 197100, 4
hub : 629624, 45310, 151151, 50.6, 185100, 4
hub : 528938, 49660, 164574, 54.23, 224100, 4
hub : 316489, 642, 139781, 47.41, 293700, 5
hub : 936497, 4717, 124122, 40.26, 288900, 4
hub : 711744, 2608, 112021, 46.09, 298500, 5
hub : 325917, 56323, 153111, 59.29, 204900, 3
hub : 943968, 74670, 143970, 63.03, 168300, 4
hub : 280147, 79506, 155906, 57.31, 245700, 3
hub : 987840, 28805, 91958, 42.13, 288900, 5
hub : 610381, 11383, 104848, 42.13, 206700, 3
hub : 500193, 12571, 167492, 48.18, 168000, 3
hub : 474080, 215, 163295, 60.39, 186600, 4
hub : 982956, 10507, 91550, 38.72, 297300, 4
hub : 951957, 91866, 145400, 66.0, 192600, 2
hub : 253234, 98901, 136322, 53.46, 184800, 4
hub : 791988, -48847, 19033, 42.68, 218400, 4
hub : 756520, -42600, 7834, 44.44, 256500, 4
hub : 121237, -34813, 15383, 38.83, 201900, 4
hub : 141547, -34236, 27236, 39.93, 282300, 4
hub : 850809, -24157, 26790, 41.14, 153300, 5
hub : 782459, -14219, 21644, 40.48, 180000, 5
hub : 353262, -13711, 32079, 49.83, 246600, 4
hub : 289177, -33146, 2724, 47.85, 200400, 2
hub : 944388, -27556, -7297, 51.37, 188400, 4
hub : 394791, -16117, -8414, 36.74, 274200, 4
hub : 365655, -4995, -9302, 61.27, 241800, 4
hub : 780438, -22161, 37675, 46.97, 186300, 3
hub : 356334, -30623, 48015, 60.72, 193800, 2
hub : 602754, -24213, 14233, 36.63, 269100, 3
hub : 893303, -17830, 4097, 50.6, 246900, 2
hub : 380690, -8678, 9803, 60.5, 296400, 5
hub : 330650, -797, 22119, 64.57, 263100, 3
hub : 141386, -8492, 40877, 56.32, 198900, 2
hub : 457546, -1642, 52426, 42.46, 200400, 2
hub : 681387, -8884, 60234, 59.51, 163500, 4
hub : 880348, -2562, 31981, 43.78, 155100, 2
hub : 515244, -41597, 53333, 47.08, 171300, 3
hub : 576320, -31149, 61962, 52.47, 272700, 2
hub : 682495, -95, -332, 44.99, 203400, 4
hub : 402206, 8212, -6595, 62.26, 193200, 5
hub : 561921, -55733, 8999, 38.28, 165900, 4
hub : 916020, -33013, 37229, 50.27, 297300, 4
hub : 767837, 5062, 40410, 39.93, 209700, 2
hub : 424859, 15268, 42706, 36.96, 291900, 2
hub : 156586, 24426, 51905, 40.48, 284100, 3
hub : 225243, -51228, 60461, 53.9, 230400, 4
hub : 863112, 7512, 60403, 65.67, 264900, 5
hub : 548799, -46569, 31063, 39.93, 165900, 5
hub : 566775, -57831, 33807, 45.1, 201600, 3
hub : 158879, -53769, 43832, 34.21, 291900, 4
hub : 783221, -65297, 43321, 44.77, 160200, 2
hub : 953812, -76094, 47752, 62.15, 280200, 3
hub : 231778, -41714, 42980, 34.32, 217800, 5
hub : 790788, 7626, 7154, 54.01, 198900, 2
hub : 574944, -68094, 54173, 34.65, 243300, 5
hub : 819846, 9822, 30274, 52.14, 287100, 2
hub : 988388, -44568, -3460, 47.41, 172800, 3
hub : 271242, -37046, -10459, 45.76, 179400, 3
hub : 430651, -31950, -21592, 35.53, 181800, 5
hub : 119115, 19676, 32675, 36.85, 207300, 2
hub : 545299, 30305, 27170, 65.34, 201000, 4
hub : 946993, -21987, -20057, 39.71, 247500, 4
hub : 656933, 34218, 45920, 55.77, 295200, 3
hub : 546640, 10854, 73370, 57.75, 253500, 2
hub : 162618, 10507, 84550, 40.37, 238200, 5
hub : 879283, -37233, -47893, 53.24, 219000, 2
hub : 572860, -46651, -55259, 53.9, 220800, 4
hub : 842516, -52214, -66118, 36.96, 241500, 5
hub : 985926, -39743, -63080, 65.23, 243900, 5
hub : 331510, -31784, -71815, 56.21, 214800, 3
hub : 357200, -47521, -76871, 40.26, 151200, 4
hub : 151510, -60318, -56594, 42.13, 174000, 2
hub : 618172, -67526, -64229, 33.77, 184800, 2
hub : 952580, -76020, -53467, 62.04, 176100, 4
hub : 108897, -49491, -42367, 48.73, 207900, 3
hub : 488197, -53672, -33013, 37.18, 228600, 5
hub : 287254, -19071, -77430, 43.23, 166200, 2
hub : 145716, -60335, -74133, 38.28, 266100, 2
hub : 790330, -63345, -87243, 58.52, 171900, 4
hub : 307823, -11002, -83740, 34.32, 253500, 3
hub : 378480, 1220, -86603, 33.22, 283200, 5
hub : 364714, -19056, -67111, 38.28, 229200, 2
hub : 126405, -21147, -87269, 34.43, 267600, 5
hub : 630422, -16610, -99382, 54.12, 274200, 3
hub : 121618, -27246, -101675, 54.78, 175800, 5
hub : 809850, -58204, -96086, 51.81, 160800, 2
hub : 772228, -69646, -97203, 41.03, 244500, 2
hub : 984507, -78797, -92566, 47.52, 202200, 5
hub : 117448, -62488, -107523, 38.28, 250200, 3
hub : 607696, -55043, -117488, 33.66, 230400, 4
hub : 754305, -43621, -119951, 49.28, 157800, 3
hub : 825167, -31887, -117312, 34.43, 155700, 5
hub : 122335, -29257, -128767, 54.45, 157800, 2
hub : 974292, -36866, -83460, 40.37, 153600, 2
hub : 398478, -50585, -107628, 41.25, 291600, 3
hub : 381655, -27382, -59041, 56.43, 235800, 3
hub : 241169, -17307, -56586, 54.56, 239100, 3
hub : 712851, -67805, -45588, 57.53, 296100, 4
hub : 733811, -6061, -106488, 38.17, 151200, 3
hub : 233794, -46560, -87177, 52.91, 198900, 4
hub : 838905, -37685, -95630, 55.99, 273300, 4
hub : 268903, -73922, -75696, 42.68, 286800, 2
hub : 519981, -84809, -71452, 42.02, 183600, 4
hub : 212760, -96987, -72208, 40.04, 177600, 3
hub : 587189, -102961, -64061, 63.36, 286500, 2
hub : 331461, -108587, -74146, 63.14, 171300, 2
hub : 147352, -102561, -85412, 35.86, 225600, 4
hub : 202031, -9896, -72274, 43.01, 215700, 3
hub : 972992, -47445, -98010, 40.92, 195000, 5
hub : 462005, -77778, -64320, 48.18, 237600, 4
hub : 710227, -76700, -39497, 38.72, 279300, 4
hub : 996015, -87080, -51185, 37.29, 183900, 2
hub : 978776, -36942, -37729, 39.38, 272700, 3
hub : 108896, -31950, -28592, 64.35, 201600, 2
hub : 310247, -86371, -83559, 37.29, 167400, 5
hub : 869514, 56680, -97624, 53.68, 267300, 4
hub : 468620, 65805, -107638, 59.73, 271500, 4
hub : 916999, 66112, -121517, 55.99, 288900, 3
hub : 552123, 67966, -95853, 46.97, 227100, 3
hub : 931643, 75642, -103427, 47.85, 204300, 3
